text,ground_truth,claude-3-5-haiku_prediction,claude-3-5-haiku_confidence
1. نقص الوعي والتثقيف: يواجه بعض نقصًا في الوعي في إلى وقد لا يكونون على دراية بكيفية استخدام الأدوات الرقمية على المعلومات المطلوبة. 2. التكنولوجيا: يعاني المواطنين من صعوبة في الوصول إلى التكنولوجيا الحديثة مثل يجعلهم غير قادرين على الاستفادة بشكل كامل من المنصات الإلكترونية 3. الحاجة البنية التحتية: حاجة لتحسين البنية التحتية التكنولوجية في الجماعة لضمان جميع المواطنين المعلومات بسهولة وفعالية. 4. تحديات الإلكترونية: الجماعة تحديات في أساليب الإدارة الإلكترونية والتي نشر المعلومات بشكل دوري ومفهوم. 5. استجابة فعالة: يجب التأكد وجود آليات فعّالة لاستقبال الاستفسارات والشكاوى من سريع وفعّال. 6. التحديات الثقافية والاجتماعية: والعادات والتقاليد المحلية عائقًا أحيانًا أمام التفاعل مع مفاهيم الشفافية والمشاركة,negative,negative,0.85
- + = توازن بين a +-t + -y + المجموعة + a + a + الخدمة + + a + + + + a + +,neutral,neutral,0.2
"عدم تلبية مكتب الشكايات بجماعة عين حرودة لجميع المشاكل المطروحة بجماعة عين حرودة:
- شكايات شفهية
- شكايات مكتوبة
- شكايات إلكترونية",negative,negative,0.85
نقص في تفاعل المجتمع المدني مع القضايا المحلية,negative,negative,0.85
خلق منطقة للانشطة الاقتصادية والحرفية,positive,positive,0.75
"مشكل كراء الشارع العمومي من طرف الجماعات وما يترتب عنه من فوضى في كل الشوارع والأزقة خصوصا أصحاب السفرات الصفر ومضايقاتهم باستخلاص اتاوات غير قانونية 
أنا مواطن اؤدي ضريبتي من حقي أن اركن في الشارع العمومي مجانا 


المشكل الثاني 
الترامي على الشارع العمومي من طرف أرباب المقاهي والمحلات",negative,negative,0.85
"- جهل المواطنين بكيفية التعامل الرقمي وكيفية وضع ملفاتهم شخصيا دون اللجوء الى وكالات
- نقص في معطيات المنصة يعطل من دراسة ومعالجة الملف
- مشكل الربط بالنترنيت
- تحيين المعدات الالكترونية لتتماشى مع الرقمنة",negative,negative,0.85
ضعف تكوين الموارد البشرية في التواصل,negative,negative,0.85
- محدودية المشاركة المواطنة في تدبير الشأن المحلي وفي تقييم جودة الخدمات التي تقدمها المرافق العمومية؛,negative,negative,0.75
ضعف التواصل بين الجماعة والمواطن,negative,negative,0.85
انتشار الحيوانات الضالة,negative,negative,0.75
قلة و ضعف الاليات و اللوجستيك المخصص لمصلحة الانارة العمومية للجماعة.,negative,negative,0.85
عدم استعمال مستشعرات و مؤقتات,neutral,negative,0.7
عدم تفعيل منضومة التتبع والتقييم المرفقة لبرنامج عمل الجماعة,negative,negative,0.85
الولوج للمعلومة,neutral,neutral,0.5
90 عدم تغطية كل أحياء العمومية بشكل,negative,negative,0.6
"Actuellement, l'accès aux informations sur les activités du conseil municipal, les budgets municipaux, les plans de développement urbain et les projets en cours peut être limité pour les résidents de la commune de Martil",neutral,negative,0.75
"في هذا الإطار، واعتبارا لكون الولوجيات منطلق أساسي لكل سياسة اندماجية للأشخاص في وضعية إعاقة، بحيث أنها تساهم بشكل رئيسي في الرفع من استقلاليتهم، عبر إزالة كل الحواجز البيئية، المادية، التنظيمية وكذا الثقافية التي تحول دون ممارسة حقوقهم وولوجهم لمختلف الخدمات والفضاءات المستقبلة 

ويشكل تطبيق هذا البرنامج فرصة للوقوف على واقع الولوجيات بالجماعات الترابية من حيث عدم توفر على مدخل خاص بالأشخاص في وضعية إعاقة بمقر الجماعة",neutral,positive,0.85
"- قلة الاهتمام بشؤون المراة في المجال الاجتماعي والصحي 
- ضعف الاهتمام بصحة المرأة والامراض المعرضة لها في فترة الانجاب
- عدم توعية المرأة بالمجال الصحي في فترة الانجاب
- غياب مراكز التكوين للمراة في وضعية صعبة",negative,negative,0.9
حماية الممتلكات العامة والخاصة ومراقبة المناطق المكتظة,neutral,neutral,0.6
نقل وتنقل الجمعيات,neutral,neutral,0.5
عدم تنظيم دور زائد شكل زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد زائد a زائد a زائد زائد a زائد a زائد زائد a زائد زائد a زائد زائد زائد a زائد زائد زائد a زائد زائد زائد a زائد زائد زائد زائد a زائد زائد زائد زائد a زائد زائد زائد زائد زائد زائد a زائد زائد زائد زائد a زائد زائد زائد زائد زائد زائد a زائد زائد زائد زائد زائد زائد زائد زائد a زائد زائد زائد زائد زائد زائد زائد a زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد a زائد زائد زائد زائد زائد زائد زائد زائد زائد a زائد زائد زائد زائد زائد a زائد زائد زائد زائد a زائد زائد زائد زائد a زائد زائد زائد زائد زائد a زائد زائد زائد زائد زائد زائد a زائد زائد زائد زائد زائد a زائد زائد زائد زائد زائد زائد a زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد,neutral,neutral,0.5
انعدام تنظيم أبواب مفتوحة بجماعة عين حرودة.,negative,negative,0.75
غياب اليات للتتبع و التقييم,negative,negative,0.85
انعدام الصحية لملاعب القرب,negative,negative,0.85
"1. نقص الوعي والمشاركة: بعض المواطنين قد لا يكونون ملمين بحقوقهم ودورهم في عملية صنع القرار المحلي، مما يمكن أن يقيد مشاركتهم وتفاعلهم في العمل الجماعي.

2. العقبات الثقافية والاجتماعية: تواجه بعض الفئات في المجتمع عقبات ثقافية أو اجتماعية تعيق مشاركتهم، مثل النساء أو الشباب أو الأقليات.

3. تحديات التكنولوجيا: يواجه بعض المواطنين صعوبة في الوصول إلى التكنولوجيا الحديثة المستخدمة في عملية المشاركة الإلكترونية.

4. نقص الموارد المالية: قد يكون هناك نقص في التمويل المخصص لتنظيم الفعاليات والبرامج التوعوية التي تهدف لتعزيز المشاركة المواطنة.

5. التحديات الإدارية: قد تكون هناك صعوبات في إدارة عملية المشاركة المواطنة بشكل فعّال، مثل التنسيق بين الجهات المعنية ومتابعة تنفيذ القرارات المشتركة.

6. التحديات اللغوية: هناك صعوبات في التواصل مع فئات متعددة في المجتمع نظرًا لاختلاف اللغات المحكية.

7. ضمان التفاعل الفعّال: قد يكون من الصعب ضمان تفاعل مستمر وفعال من قبل المواطنين بعد انتهاء الفعاليات أو البرامج التوعوية.",neutral,negative,0.85
(أ) في مسألـة: فـي مـا فـي مـا لـه، و((((()) و(((ف)))(((ف)) و((((ف)))))) في مـاذـا مـاذـا فـي مـا، و(((أ)) و(((أ)))(أ),neutral,neutral,0.1
غياب مصلحة للنظام المعلوماتي,negative,negative,0.75
"Code
106

{غياب علامات نعت بعض محطات الوقوف لسيارات الاجرة الصنف التاني 
{الاسواق النمودجية ومحطة القطار}",negative,neutral,0.5
سلام عليكم رئيس جامعة القليعة واعضائه الكرام وشكرا لكم على اعمالكم الشاهدة على نفسها والتي لاتحتاج شكر الناس فارضاء الناس جميعا غاية لا تدرك اما بعد انا كمواطن امضيت عمري كله بالقليعة ورائت النمو الدي شهدته بعد توليكم الرئاسة واني الاكتر من فخور بمدينتي واريد ان اراها دائيما في القمة اولا ملاحضة اريد ان اقدمها لكم هوا عند اتمام المستشفى بالعزيب والدي يوجد موقعه بالقرب من الشارع من الجهتين لو تم وضع باراج لدرك الملكي دائم كي يتم تجنب ازعاج المرضى بالكلاكسون او السرعة الخ فعند وضع باراج دائم سيمنع هده التصرفات ميما يجعل المرضى ينامون ويرتاحون في غرف المستشفى تاني نقطة لو تمة إزالة مكبات النفايات الكبرى التي تم توزيعها بشكل كتير على الشارع وتعويضيها او ايضافة اليها مكبات نفاية صغيرة معلقة على أعمدة الكهربائة لرمي الازبال الصغيرة لايبقى الشارع نضيفاا انشاء الله ولا ننسى أن تقومو بعمل كتيف لاصلاح الأزقة وتضسيسيها لكي تعطي جمالية اكتر ونتمنى لكم التوفيق في مسيرتكم وشكر الموصول لكم على عملكم,positive,positive,0.85
- صعوبة استعمال وولوج التطبيقات الرقمية الرسمية من طرف المواطنات والمواطنين.,negative,negative,0.85
Problème du en public rue devant passants . un phénomène d'incivisme,neutral,negative,0.85
عدم تواجد مكتب تواصل بجماعة عين حرودة.,negative,negative,0.7
" الكلاب الضالة
 مشكل تدبير النفايات
 التوسع العمراني
 حرق النفايات
 مخلفات الذبح السري للدجاج
 نقص المساحات الخضراء
 نقص الوعي الجماعي
 مخلفات الانشطة غير المهيكلة
 مشكل الانارة العمومية
 وضعية مرجة الفوارات
 غياب البنايات البيئية",negative,negative,0.95
عدم الالمام بالقانون 31/13 و تعقيد المسطرة الادارية المتعلقة به,negative,negative,0.85
ضعف إيجاد شركاء الجماعة وقلتها,negative,negative,0.85
"Code
93

نقص الانارة بالمساجد والمؤسسات التعليمية .
نقص اليد العاملة لتلبية الحاجيات الخاصة بالانارة العمومية.",negative,negative,0.85
نقص الفضاءات الرياضية في أغلب الأحياء,negative,negative,0.85
غياب التشوير بالجماعة.,negative,negative,0.7
لـ a خاص زائد a خاص زائد b زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد,neutral,neutral,0.5
غياب الموارد البشرية المؤهلة,negative,negative,0.85
غياب ارشيف محلي متاح للعموم كل ما هو موجود فقط لدى الجمعيات والتي يصعب التواصل معها او الحصول على معلومات منها,negative,negative,0.85
ضعف الإقبال على صفحة الجماعة و موقع التواصل الاجتماعي والموقع الرسمي، مما يشكل مشكلة الثقة وعدم دراية الساكنة بأنشطة الجماعة,negative,negative,0.85
نقص الرياضة,negative,negative,0.7
غياب المقاربة التشاركية في تنزيل المشاريع,negative,negative,0.85
ضلع زائد جاذبية زائد زائد تراب زائد زائد زائد زائد زائد ارتباط من صور زائد المدين زائد زائد معطوب زائد زائد زائد صانع زائد منجم زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد و زائد نمطي صور زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد مع زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد.,neutral,neutral,0.5
اشكالية اتلاف التجهيزات و المرافق العمومية,negative,negative,0.85
قلة التواصل بين الجماعة و المواطنين,negative,negative,0.75
عدم توفر مراكز مجهزة و أطر لاحتضان و تكوين النساء في مختلف الحرف,negative,negative,0.85
الشبكة زائد الضوء زائد العام زائد عامة زائد غير كاف زائد غير كاف زائد المجموع في + المدين زائد + و + و + خصوصاً في حي + + زائد الناس زائد + + + + +: حي ماغنيبا 1، حي ماغنيبا 2، حي 20 Gs+T، حي ZV، حي Z+، حي فينتاج، حي MS+، قسم MS+I في MS++ على + عمدة البلدة، النسيم 1 و + النسيم 2... + عدم توزيع استمارة + B+ متساوية.,neutral,neutral,0.3
فقدان الثقة بين المواطن والادارة,negative,negative,0.85
(أ) و(ج الجديدة، بالإضافة بالإضافة، بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة، بالإضافة ف ف ف ف ف ف ف ف القوى بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة ج بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة بالإضافة,neutral,neutral,0.5
نضيف زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد صلب زائد زائد زائد زائد ويصل إلي زائد,neutral,neutral,0.5
:: الافتقار إلى +++الوعي ++المواطن + + + 2 بالي + + + + + + + + الديمقراطية + + + + + + + + المشاركة,neutral,positive,0.75
"‏غياب مقاربة النوع في الساحات العمومية وملاعب القرب , ‏وعدم استعمال النساء والفتيات للفضاء العمومي",negative,negative,0.85
نحيطكم علما سيدي بأنني رئيس جمعية المو مقرها بقصر تكندوزت أموكركما أنني ايضا سائق حافلة النقل المدرسي وأننا نعاني من خصاصي مهول في وسيلة النقل المدرسيللثانوية ال الاعدادية زيز بأموكر قيادة أموكر رغم توفرنا على بعضهم الا اننا نواجه أعطاب تقنية بشكل مستمر ودائم مما يجعل تلميد يعاني الويلات من الاكتطاط والكم الهائل منهم وتارة تتسب تلك الأعطاب في تأخرهم عن الدروس وهدا ما يجعل بعطهم يضطر عن مغادرة مقاعد الدراسة بصفة نهائية ولهذا نطالبكم سيدي بزيادة وسيلتين لنقل المدرسي المساندة لتلميد واللذي في حاجة ماسة اليها خصوصا انهم يقطنون في المناطق النائية وبهذا لينال نصبه في حقه المشروع ألا وهو التعليم,negative,negative,0.85
من أجل ابراز الدور الذي تقوم به مؤسسة مجلس العمالة في تدبير الشأن العام الترابي,neutral,neutral,0.6
ضبط لقاءات المباشرة بين المرتفقين وممثلي الادارات الجماعية وما مدى تأثيرها على الشكل المطلوب لتقديم الخدمات,neutral,neutral,0.6
"1-ضعف ثقافة الولوج الى المنصة الرقمية: (وثيقة +رخص+ شكاية + GID + GIR .... )
2-الامية الرقمية + عدم ايصال المعلومة بتوفر منصات خاصة بكل اجراء 
3-انعدام اليات التواصل خاصة بوابة جماعة الفنيدق + صفحة الجماعة",negative,negative,0.85
شكل + + + إنجاز المسار + المشاريع و + القياس المزدوج الذي يسبب ++ تقدم الأعمال ++,neutral,positive,0.85
عدم تفعيل مكتب المواطن بالجماعة وضعف توفر الجماعة على مخطط التواصل,negative,negative,0.85
فك العزلة على مجموعة من القرى من بينها ولال.تغرماتبن.تابية.ايت اسعيد باليت.زاوية سيدي بوكيل ݣفاي و دالك عبر الطريق الرابطة بين قصر ولال و قصر تغجدت الدي يبلغ طوله حوالي 2 كلم !!!,neutral,positive,0.75
ضاعف ناتج الحليب + المشتقة + + + + + + الناتج + الاجهاد + الاجهاد,neutral,neutral,0.5
توفير إيميلات لموظفي الجماعة.,neutral,neutral,0.6
ضعف تكوين الموارد زائد الموارد من زائد الإنسان زائد زائد زائد زائد زائد زائد.,neutral,neutral,0.5
ضعف الحكامة مستوى التدبير,negative,negative,0.85
غياب التشوير بالجماعة.,negative,negative,0.7
معالجة المياه العادمة,neutral,neutral,0.6
عدم وجود منصة رقمية تسهل على المواطنين الإطلاع على كل ما يخص تسيير الشأن العام المحلي,neutral,negative,0.85
إقصاء الجمعيات الثقافية وبعض الرياضية الدعم المالي واللوجيستي التي تقدمه الجماعة بناء على عقود شراكة أهداف من مشاريع وأنشطة,negative,neutral,0.6
غياب خريطة اقليمية للنقل المدرسي,negative,negative,0.75
"Code
92
اختلاف نوعية المصابيح المتبتة {الصوديوم الليد}",neutral,neutral,0.5
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.75
من أجل الحد من فقدان الامل لدى الشباب والفئات الهشة,neutral,positive,0.75
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.75
ضمانات المبادرات الناجحة من المجالس المتعاقبة أي عدم المرفق العام مع مجيئ مجلس جديد,neutral,neutral,0.5
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.75
إضطراب زائد زائد إلى زائد وصول إلى زائد هو معروف إلى a زائد --,neutral,neutral,0.3
عدم توفر عدد كبير من جمعبات المجتمع المدني على القدرات التقنية لولوج المنصات الإلكترونية المتوفرة,negative,negative,0.85
+ + + + + المواطن + + المواطن + + 2 ب + كيف + + العمل + العمل في + صفحة + + + + + + و + الولاية القضائية + + + + + هـ وعدم وجود ممارس + + + + + + + حق + + + + + + + + + + + الوصول إلى + + معروف + + + + +,neutral,neutral,0.3
غياب a زائد set زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد a زائد y زائد y زائد a زائد a زائد a زائد a زائد a زائد,neutral,neutral,0.5
ضعف خدمات الانارة العمومية,negative,negative,0.85
قلة العرائض,negative,negative,0.7
يمكن أن تجد شركاء ضمن زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد زائد.,neutral,neutral,0.5
مشكلة مياة زائد زائد زائد زائد جيد لـ زائد زائد زائد زائد الشرب يَجْعلُ مفهوماً زائد b زائد ssh زائد y.,negative,neutral,0.5
عدم اشراك المواطنين في برنامج الجماعة,neutral,negative,0.85
