Idea Number,Channel,Theme,What are the challenges/issues raised?,What is the proposed solution?
163,اللقاء,"الرقمنة
مغاربة العالم",صعوبة المصادر الإدارية بالنسبة للمهاجرين,استحضار المجلس الإقليمي لأبعاد الهجرة في كافة أنشطته داخل وخارج المغرب مثل تنظيم تظاهرة يوم المهاجر وتفعيل دور مكاتب استقبال المهاجرين
164,اللقاء,مغاربة العالم,عدم الاعتراف وعدم تثمين عمل الجاليه,‏تثمين مبادرات هذه الجالية عبر المهرجانات و إيلموقارن
165,اللقاء,"الرقمنة
مغاربة العالم",انخفاض الثقة بين الجالية والإدارة وتحول دورهم منه المساهمة في التنمية الإقليمية إلى مساعدات ذات طابع شخصي والتي ساهمت في خلق مشكلة الاتكالية خصوصا بعد 19 - كوفيد,"خلق شبكة بين جمعيات داخل المغرب وخارجه وتنشيطها ببرنامج سنوي محدد قصده توجيه عملها للاستثمار في مشاريع سنوية للإقليم من طرف أبنائه المهاجرين،
خلق آليات المواكبة شفافة لكل أنشطة الجالية ومشاريعها ,
خلق منصة إلكترونية لتلبية حاجيات كل قضية على حدة ويلعب المجلس الإقليمي دورا وسيطا بين منظمات المجتمع المدني خارج الوطن وذلك باستعمال الرقمنه،
الإشعاع الرقمي لهذه الشبكة لتعريف وتسهيل التواصل بين العرض والطلب"
705,اللقاء,تنمية مستدامة مراعية للبعد الايكلوجي ومواجهة للمخاطر الطبيعية والبشرية,اشكالية تدبير و اعادة تدبير مطرح النفايات بمدينة فاس,مراجعة دفتر التحملات مع الشركة المعنية - اقامة حاجز نباتي بين المطرح و المدينة
704,اللقاء,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,شبكة التطهير المتهالكة بالاحياء الشعبية و المدينة القديمة,"- جرد الاحياء التي تعاني من الهشاشة- التنسيق و الاشراك للوكالة المستقلة لتوزيع الماء و الكهرباء - وضع استراتيجية على المستوى القريب و المتوسط و البعيد - التدخل الفوري في النقط السوداء - توسيع شبكة التطهير السائل "" حجم القنوات ""ل"
703,اللقاء,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,اشكالية تدبير قطاع النظافة بمدينة فاس,توعية الساكنة بالطرق الصحيحة لوضع النفايات من طرف الشركة الموكول لها تدبير القطاع - اضافة حاويات جديدة في جميع المناطق الحضرية - تنظيف الحتويات باستمرار - توفير لباس امن لعمال النظافة .
702,اللقاء,تنمية مستدامة مراعية للبعد الايكلوجي ومواجهة للمخاطر الطبيعية والبشرية,غياب الوثائق القانونية المرتبطة بالتعمير من أجل اختيار مواقع النفايات -,معايير اختيار مطرح النفايات ضمن تصميم التهيئة - غياب المحسوبية و الزبونية في اختيار المطرح - دراسة تقنية لاختيار المطرح
701,اللقاء,تنمية مستدامة مراعية للبعد الايكلوجي ومواجهة للمخاطر الطبيعية والبشرية,حاويات للازبال غيركافية لتغطية مختلف احياء الجماعة,توفير حاويات للازبال اضافية مع صيانة الحاويات المتواجدة
699,اللقاء,تنمية اقتصادية مبتكرة في خدمة الساكنة المحلية محافظة على الموارد ومثمنة لمميزات ومؤهلات المدينة,نقص في لوحات التشوير,تعزيز لوحات التشوير باستعمال الرقمنة
696,اللقاء,تنمية اجتماعية معززة للمرافق والخدمات الاجتماعية ومحفزة على المبادرة والمشاركة ومقاومة للإقصاء والهشاشة,احتلال الملك العام و تاثيره على تنقل الراجلين,التطبيق المسؤول للقانون المؤطر لهادا الشان وتنظيم لقاءات تحسيسية بخطورة احتلال الملك العام وتطبيق الذعائر
693,اللقاء,تنمية مستدامة مراعية للبعد الايكلوجي ومواجهة للمخاطر الطبيعية والبشرية,انتشار الحيوانات الضالة,خلق فضاء خاص بالحيوانات الضالة
1780,ذاتية,دعم برنامج عمل الجماعة,نسبة الامية المرتفعة,"احداث لجنة خاصة بالتواصل بين الجماعة والمواطنين/ات من اجل توفير المعلومة وايصالها 
القيام بزيارات ميدانية للأحياء من أجل التعريف بالمشاريع والانشطة 
تبسيط المساطر القانونية وجعلها رهن اشارة المواطنين/ات
تأهيل وتطوير الموقع الالكتروني للجماعة بما يسمح بتمكين المواطنين/ات من المعلومات حول المشاريع المبرمجة أو التي في طور التنفيذ، الميزانيات المخصصة، مع تبسيط التواصل واخد بعين الاعتبار نسبة الامية 
توعية المواطنين/ات لتحسيسهم بالخدمات الجماعية مع تسهيل وتبسيط الولوج اليها
ادراج لغة الاشارة ، الاعتماد على التسجيلات الصوتية والمرئية ضمن الادوات المستعملة في التواصل حول برامج وانشطة الجماعة والتعريف بمضامين برنامج عمل الجماعة
تكوين الاطر واعضاء اللجان للقيام بمهمة التحسيس والتواصل في هدا الموضوع
تشكيل لجن التتبع والتقييم وانفتاحها على اشراك المجتمع المدني 
السويق والتعريف بجميع منجزات الجماعة عبر وسائل الاعلام والثوتيق عن طريق الزيارات الميدانية 
الاعتماد على الشاشات الالكترونية واللوحات الاشهارية (الثابتة او المتنقلة) كوسيلة ايصال المعلومات والاخبار للمواطنين/ات (خاصة في الساحات ونقط التجمهر اليومي للساكنة)
ترجمة محتوى خدمات الجماعة الى اللغات الاجنبية للتعريف بمؤهلات الجماعة والمساطر ..."
355,اللقاء,تقديم خدمة ذات جودة عالية,احتلال الملك العمومي,منع المقاهي والباعة من احتلال الملك العمومي وتنزيل اجراءات زجرية
356,اللقاء,تقديم خدمة ذات جودة عالية,ضعف خدمات الانارة العمومية,تحسين الخدمة واحداث تطبيق ذكي لتحيد اشكاليات الانارة بالاحياء
357,اللقاء,تقديم خدمة ذات جودة عالية,اشكالية تدبير الفضاءات الرياضية,تخصيص حصص خاصة بالمجتمع المدني وتخصيص ميزانية للصيانة والعدالة في توزيع الحصص
358,اللقاء,تقديم خدمة ذات جودة عالية,عدم تعميم الرقمنة عتى جميع مصاتح الجماعة,تكوين اطر الجماعة في الرقمنة وتعميمها لتشمل جل المصالح
359,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,غياب رؤية استراتيجية في الشان الثقافي,استحضار الخصوصية الثقافية واشراك المواطنين في وضع استراتيجية الثقافة
360,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,عذم الاشراك في صياغة واعداد دفتر التحملات,اشراك المجتمع المدني والمواطنين في اعداد دفتر التحملات
361,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,عدم اشراك المواطنين في برنامج الجماعة,خلق خطة تواصل لاشراك المواطنين
363,اللقاء,تقديم خدمة ذات جودة عالية,اشكالية الكلاب الضالة,ابتكار حلول جديدة للتقلقل من انتشار الكلاب الضالة
364,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,ضعف ادماج المجتمع المدني داخل الجماعة,تعزيز تمثيلية المجتمع المدني داخل الجماعة
365,اللقاء,"التواصل والوصول إلى المعلومة
تقديم خدمة ذات جودة عالية",غياب اليات للتتبع و التقييم,خلق و تفعيل الية للتتبع و التقييم
366,اللقاء,تقديم خدمة ذات جودة عالية,قلة ملاعب القرب,العدالة المجالية في احداث الملاعب و تأهيل و استغلال ملاعب المؤسسات التعليمية
367,اللقاء,تقديم خدمة ذات جودة عالية,عم توفر الجماعة على دراسة في المجال البيئي,اعداد مخطط بيئي
368,اللقاء,تقديم خدمة ذات جودة عالية,اشكالية اتلاف التجهيزات و المرافق العمومية,خلق شراكات مع المجتمع المدني من أجل تحسيس و توعية المواطنين
369,اللقاء,تقديم خدمة ذات جودة عالية,اشكالية السير و الجولان,اعداد دراسة حول السير و الجولان
370,اللقاء,تقديم خدمة ذات جودة عالية,اشكالية تدبير النفايات بالمدينة,و توزيع الحاويات في جميع الاحياء تطوير و تجديد الاسطول و التحسيس و التوعية والتربية على المواطنة و جمع النفايات ليلا و تفعيل الشرطة الاداريةو التسيير بشراكة مع المجتمع المدني
371,اللقاء,تقديم خدمة ذات جودة عالية,ضعف النقل الحضري,فتح خطوط جديدة و احداث شبكة طرقية مؤهلة تستجيب لتطلعات الساكنة
372,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,ضعف البرامج التي تستهذف المرأة الحرفية,احداث مراكز للتسويق
373,اللقاء,التواصل والوصول إلى المعلومة,غياب مراكز لاستقبال و توجيه الاشخاص في وضعية اعاقة,خلق مركز للاستقبال و التوجيه
374,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,ضعف التمكين الاقتصادي للنساء,مواكبة النساء الحرفيات
375,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,توقف مركز ايوء المرأة في وضعية صعبة,اعادة فتح المركز
376,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,عدم اعتماد برامج تنموية تستحضر مقاربة النوع,صياغة برامج على طول السنة تستحضر مقاربة النوع
377,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,عدم اشراك المرأة في الميزانية العامة و المشاريع التنموية,اعتماد تكافؤ الفرص في مناصب المسؤولية و اعتماد ميزانية مستجيبة للنوع
378,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,ضعف برامج تعنى بالمرأة و ضعف المقاربة التشاركية,اعتماد برنامج تكويني في الريادة
379,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,ضعف اشراك المرأة في التدبير,تقوية حضور المرأة في صنع القرار خاصة في ترأس المصالح و اللجن الدائمة
380,اللقاء,التواصل والوصول إلى المعلومة,غياب الية لقياس رضى المواطن,احداث الية مرقمنة لقياس مستوى رضى المواطن على الخدمات الجماعية
381,اللقاء,التواصل والوصول إلى المعلومة,الموقع الرسمي للجماعة و الصفحة الرسمية على الفايسبوك يقتصران على :- الانشطة الكبرى للجماعة,- تطوير الموقع و تنويع المعلومات لتشمل برامج و قرارات المجلس ( الحس الاستباقي ) - تيسير الولوج للموقع
382,اللقاء,التواصل والوصول إلى المعلومة,ضعف التشوير بالامازيغية - غياب حرف تيفيناغ في الممارسات الادارية,الترجمة الفورية- احداث مكتب للتواصل و التوجيه
383,اللقاء,التواصل والوصول إلى المعلومة,صعوبة تفعيل الاليات و النصوص القانونية الخاصة بالوصول للمعلومة,تبسيط القوانين و النصوص التنظيمية للحق في الوصول للمعلومة - نشر المعلومات المسموح بها في المواقع الاكثر مشاهدة و كذلك المنصات الخاصة بكل مجال
384,اللقاء,التواصل والوصول إلى المعلومة,تعقيد المساطر,الانفتاح على البوابة الالكترونية- تنويع قنوات التواصل و تبسيط المعلومة - خلق خط أخضر
385,اللقاء,التواصل والوصول إلى المعلومة,عدم تحديد اليات التواصل,تحديد اليات التواصل
386,اللقاء,التواصل والوصول إلى المعلومة,- ضعف التواصل بين المجتمع المدني و الجماعة - و صول المعلومة متأخرة,الحس الاستباقي للمعلومة
387,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,- ضعف الفعل المدني في بعض المجالات- ضعف الديمقراطية التشاركية - عدم اشراك الفاعلين في القرارات التنظيمية التي تهم الجماعة- تعثر الية التشاور ( الهيئة) - غياب التحسيس داخل النسيج المجتمعي بأهمية العرائض - ضعف التكوين لدى الفاعل الجماعي ( المنتخب ) - ضعف تأطير المواطنين من طرف الجمعياتج,- تقوية قدرات الفاعلين الجمعويين في المجالات - اشراك جميع الفاعلين في اتخاذ القرارات التي تهم كل فئة - اعداد ميزانية تشاركية ميزانية مواطنة - اشراك الفاعلين في القرارات التنظيمية التي تهم الجماعة - اعادة النظر في مكونات الهيئة و طريقة اشتغالها - التحسيس بأهمية النسيج المجتمعي - اعداد سلسلة التكوينات الخاصة بالفاعل الجماعي- اعداد مخططات للتكوين بين الجماعة و الجمعيات لتقوية قدرات الفاعلين الجمعويينو
388,اللقاء,التواصل والوصول إلى المعلومة,-قلة التواصل - عدم توفر المواطن على المعلومة الكافية - عدم اشراك المواطنين في قرارات التدبير,و ضع خلية التواصل رهن اشارة المواطن
389,اللقاء,التواصل والوصول إلى المعلومة,غياب التواصل و التفاعل بين الادارة و الافراد و كذلك مع المؤسسات,- اعتماد اليات التواصل الحديثة- انجاز منصات خاصة بكل مصلحة - التفاعل الايجابي للمواطن
390,اللقاء,التواصل والوصول إلى المعلومة,ضعف التواصل الداخلي و الخارجي,تكوينات خاصة بالتواصل
391,اللقاء,التواصل والوصول إلى المعلومة,- ضعف التواصل - عدم الاشراك في التتبع و التقييم - غياب ميزانية تشاركية,- تعزيز التواصل الداخلي و الخارجي و اقسام المعلومة و الاشراك- اعتماد ميزانية تسمح للمواطن أن يقرر في جزء منها - ادماج المواطن و الجمعيات في بلورة و تتبع و تقييم برامج و مشاريع التنمية
392,اللقاء,التواصل والوصول إلى المعلومة,ضعف الية التواصل بين الجماعة و المواطن,تعزيز و تتبع الية التواصل في الجماعة - تعميم برنامج الرقمنة لتشمل عملية التواصل
393,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,ضعف النسيج الجمعوي في بعض المجالات - ضعف اشراك الفاعلين في الاعداد و القرارات,تكوين و تقوية قدرات النسيج الجمعوي- اشراك جميع الفاعلين في اتخاذ القرارات
394,اللقاء,التواصل والوصول إلى المعلومة,- اشكالية التواصل بين الجماعة و المجتمع المدني- عدم مشاركة المعلومة وبالتالي عدم المساهمة في تعزيز الفكر- اقصاء فئة من المجتمع المدني - - عدم اشراك المواطنين في قرارات الجماعة,تعزيز التواصل التفاعلي للهيئة
395,اللقاء,التواصل والوصول إلى المعلومة,- طريقة التواصل الداخلي - المشاركة ليست هذف أساسي بالنسبة للجماعة - الديمقراطية التشاركية - تحديد أولويات الجماعة,- تقوية التواصل داخل المدينة- تقوية قدرات الفاعلين المدنيين - انفتاح الجماعة على المحيط - اشراك الفاعلين في انشاء القرارات
396,اللقاء,تقوية دور هيئة المساواة وتكافؤ الفرص ومقاربة النوع,ضعف الحكامة - عدم اشراك الفاعلين في القرار,اشراك الفاعلين في القرارات، في الاعداد و التقييم و التحيين و التنفيذ
397,اللقاء,التواصل والوصول إلى المعلومة,انعدام التواصل بين المواطنين و الجماعة بخصوص أعمال الجماعة - ضعف الديمقراطية التشاركية,دمج المواطن في جميع قرارات الجماعة
398,اللقاء,التواصل والوصول إلى المعلومة,عدم التواصل في الانشطة - عدم التواصل في الانجازات المحققة,اشراك المواطن في جميع الانشطة الممكنة و التواصل
399,اللقاء,الانفتاح,الارتباط بالشخص والعلاقات الشخصية مع الادارة,عدم مركزية المهام والتسيير والتوجيه، نشر مطبوعات حول اختصاصات الجماعة وخدماتها
400,اللقاء,الانفتاح,ضعف مهام الهيئة الاستشارية وضعف الاستجابة إلى آرائها,"تشجيع المبادرات الفردية والجماعية وتقوية قدرات أعضاء الهيئة الاستشارية في آليات المشاركة المواطنين كآليات الولوج إلى المعلومات ووضع العرائض.
وضع برنامج عمل للهيئات الاستشارية بصفة تشاركية مع المجلس الجماعي."
401,اللقاء,الانفتاح,عدم معرفة المواطن باختصاصات الجماعة ومشاريعها,الإعلام الاستباقي للمعطيات ونشر اختصاصات الجماعة
402,اللقاء,المشاركة المواطنة,إشكال الثقة وعدم تعرف المواطن على المشاريع المبرمجة في الجماعة,إشراك ومواكبة المواطن في مراحل إنجاز المشاريع..
403,اللقاء,المشاركة المواطنة,ضعف المشاركة المواطنة في إعداد البرنامج التنموي و محدودية مشاركة الهيئة الاستشارية,إشراك المواطن في تنزيل البرامج والاعداد واقتراح باستعمال آليات مبتكره
404,اللقاء,المشاركة المواطنة,ضعف المشاركة المواطنة,عقد لقاءات تشاورية وتواصلية مع المواطن وبرمجتها سنويا
405,اللقاء,الشفافية,مشكلة التواصل على مستوى اللغة,تفعيل النصوص القانونية والملفات الإدارية من أجل تفعيل الأمازيغية داخل المؤسسات العمومية
406,اللقاء,الشفافية,عدم تمكين المواطن من حقه في الولوج إلى المعلومة,تحسين آليات التواصل وتبسيط المعطيات، جعل المعلومة لها إشارة للمواطن عن طريق خلية التواصل في سبيل المثال
407,اللقاء,الانفتاح,انعدام مكاتب الاستشارة والتوجيه وضعف المعلومة لدى المواطن,إحداث شباك أو مكتب أو خلية إدارية للتواصل قصد التوجيه والاستشارة
408,اللقاء,الشفافية,"عدم فهم الساكنة للمشكلة المطروحة, المساطر الإدارية، ونسبة عالية من الأمية",تمكين المواطن من معرفة الإجراءات الإدارية وتبسيطيها ونشرها
409,اللقاء,الانفتاح,الأحكام المسبقة على المؤسسة وانعدام الثقة,عقد اللقاءات التواصلية والتشاورية وتقديم المعطيات الحقيقية والميدانية بطريقة تسهل الولوج إليها.
469,اللقاء,,المهاجرون يجدون صعوبات كثيرة مع الخدمات والمصادر الإدارية عندما يقومون بزيارة إلى منطقتهم,"التسريع بمشروع دار المهاجر داخل مدينة تارودانت، تبسيط المساطر والخدمات الإدارية الجاهلية، أحداث شباك بجماعة خاص بالجالية
احداث شباك خاص بالخدمات الموجهة للجالية المغربية المقيمة بالخارج"
487,اللقاء,الشفافية,"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث مجالات للتسويق : معرض محلي"
489,اللقاء,الرقمنة,", ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة بالصناعة المنجمية فقط وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث بوابة رقية ""خريبكة المنفتحة """
490,اللقاء,الرقمنة,"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث مسابقة فنان تشكيلي (عبدات الرمى ) الترويج للأغاني التي تتغنى بالمدينة قديما وحديثا"
491,اللقاء,الرقمنة,"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث مجالات للتسويق : بوابة رقمية ""خريبكة المنفتحة ‏على شكل بوابة عصريه محترفة للتعريف بمؤهلات الاقتصادية وثقافيا للمدينة ونشر المعلومات والبيانات"
492,اللقاء,الشفافية,"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث مسابقة مهندس معماري : مدار الساعة"
493,اللقاء,الشفافية,"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث مشروع البطاقة التقنية : المجال الثقافيو التراث اللامادي مهرجان للسينما الافريقية وهو اقدم مهرجان بالمغرب يعود الى سنة 1977 وخلالها لعب دور الديبلوماسية ""الناعمة"" الموازية للدولة ..فن عبيدات الرمى ( غنائي وتشخيصي =المسرح الغنائي"
494,اللقاء,الرقمنة,"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث مجالات للتسويق : وسائل التواصل الاجتماعي معارض تربوية"
495,اللقاء,الشفافية,"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث مسابقة (مهندس اخضر – حديقة الفردوس )"
496,اللقاء,الشفافية,"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث مجالات للتسويق : الملتقيات الدولية مهرجان السينما الافريقية"
497,اللقاء,الشفافية,", ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية","من اجل تثمين تاريخ المدينة والتعريف بمكوناته الثقافية البيئية والاقتصادية, و تحسين صورة المدينة عبر وسائل التواصل الاجتماعية والاعلام عموما وتحيلها الى مدينة اكثر جدبا / احداث مشروع البطاقة التقنية : مجال اقتصادي الحي الصناعي الموقع الطريق الوطنية ومطار دولي ومطار بالجهة"
499,اللقاء,الشفافية,غياب جمالية الأحياء,التحسيس عن طريق ‏الملصقات التوعية عن طريق الخرجات تحسيسية
500,اللقاء,المشاركة المواطنة,ضعف دعم الأنشطة الثقافية,عن طرق جمعيات ذات الاختصاصات
501,اللقاء,المشاركة المواطنة,غياب دور السينما والمركبات الثقافية أو صالونات الأدبية,تفعيل آليات العرائض
506,اللقاء,المشاركة المواطنة,إهمال فضاءات الخضراء في الأحياء,"التحسيس عن طريق ‏الملصقات
التوعية عن طريق الخرجات تحسيسية"
508,اللقاء,المشاركة المواطنة,قلة العرائض,تكثيف اللقاءات التواصلية تكوينات
552,اللقاء,المشاركة المواطنة,يتيح القانون التنظيمي رقم 113.14 المتعلق بالجماعات (المادة 119) احداث اليات تشاركية للحوار والتشاور لتيسير مساهمة المواطنات والمواطنين والجمعيات في اعداد برامج العمل وتتبعها وخاصة الهيئات الاستشارية المحدثة بشراكة مع فعاليات المجتمع المدني، الا أن دور هذه الهيئات يقتصر على المهام الاستشارية (أراء، خبرات أو دراسات). ويلاحظ أن انعدام اليات للتنسيق فيما بينها والعمل المشترك لدراسة القضايا المركبة يحد من المساهمة الفعالة لهذه الهيئات تجويد السياسات المحلية.,"تخصيص ‏فضاء عمل مشترك للهيئات الاستشارية على شكل coworking space, والاشتغال على المواضيع المشتركة والمعالجة المتعددة المجالات للقضايا المطروحة للاستشارة."
549,اللقاء,المشاركة المواطنة,إن الآراء الصادرة عن الهيئات الاستشارية سواء بمبادرة منها أو بطلب من مجلس الجماعة لا تجد في كثير من الاحيان طريقها نحو التفعيل أو الاخذ بعين الاعتبار إما بسبب ضعف الصياغة و التعليل أو عدم تحديد اليات التنفيذ أو ضعف التزام و انخراط الجماعة في الممارسة الاستشارية.,‏وضع وتفعيل ميثاق عمل داخلي لكل هيئة كدليل المصادر
2782,الموقع,الفضاءات الخضراء و المحافظة على الطابع الطبيعي و الجغرافي.,"-انتشار الأزبال والنفايات بالمدينة داخل الأحياء السكنية وحول حاويات النفايات.
- نسجل تردي الفضاءات الخضراء من حيث المزروعات وأيضا المحافظة على خضرتها.
- انتشار الأزبال داخل الأحياء","- تتبع ومراقبة مدى التزام شركة النظافة بدفتر التحملات. وتوقيع الجزاءات الضرورية عند مخالفته
- دعوة هذه الشركة إلى التنظيف داخل الأحياء السكنية.
- مزيد من العناية بالفضاءات الخضراء
- إحداث شركة التنمية المحلية لتدبر أمور الجماعة وتحل اشكاليات التدبير المفوض."
618,اللقاء,الشفافية والمشاركة المواطنة من أجل جماعة مواطنة,‏إشكالية الروائح من محطة معالجة النفايات في مدخل مدينة أزيلال,‏تقديم عريضة
619,اللقاء,الشفافية والمشاركة المواطنة من أجل جماعة مواطنة,"‏غياب مقاربة النوع في الساحات العمومية وملاعب القرب , ‏وعدم استعمال النساء والفتيات للفضاء العمومي",‏خلق فضاء خاصة بالنساء والفتيات
621,اللقاء,استغلال التحول الرقمي لصالح المواطن,الحاجة في تطوير آليات التشخيص ورصد قصد جمع وتحليل المعطيات و تشخيص حول في النساء بدون مأوى وأتعرف على الوضعية والمساهمة في تحسين وضعية وتقديم معطيات,‏تكوينات لأعضاء الهيئة حول آليات التشخيص و الرصد وجمع المعطيات وتحويلها
