text,ground_truth,prediction,confidence
- ضعف الفعل المدني في بعض المجالات- ضعف الديمقراطية التشاركية - عدم اشراك الفاعلين في القرارات التنظيمية التي تهم الجماعة- تعثر الية التشاور ( الهيئة) - غياب التحسيس داخل النسيج المجتمعي بأهمية العرائض - ضعف التكوين لدى الفاعل الجماعي ( المنتخب ) - ضعف تأطير المواطنين من طرف الجمعياتج,negative,negative,0.95
-قلة التواصل - عدم توفر المواطن على المعلومة الكافية - عدم اشراك المواطنين في قرارات التدبير,negative,negative,0.85
غياب التواصل و التفاعل بين الادارة و الافراد و كذلك مع المؤسسات,negative,negative,0.85
ضعف التواصل الداخلي و الخارجي,negative,negative,0.85
- ضعف التواصل - عدم الاشراك في التتبع و التقييم - غياب ميزانية تشاركية,negative,negative,0.9
ضعف الية التواصل بين الجماعة و المواطن,negative,negative,0.85
ضعف النسيج الجمعوي في بعض المجالات - ضعف اشراك الفاعلين في الاعداد و القرارات,negative,negative,0.85
- اشكالية التواصل بين الجماعة و المجتمع المدني- عدم مشاركة المعلومة وبالتالي عدم المساهمة في تعزيز الفكر- اقصاء فئة من المجتمع المدني - - عدم اشراك المواطنين في قرارات الجماعة,negative,negative,0.85
- طريقة التواصل الداخلي - المشاركة ليست هذف أساسي بالنسبة للجماعة - الديمقراطية التشاركية - تحديد أولويات الجماعة,neutral,neutral,0.85
ضعف الحكامة - عدم اشراك الفاعلين في القرار,negative,negative,0.85
انعدام التواصل بين المواطنين و الجماعة بخصوص أعمال الجماعة - ضعف الديمقراطية التشاركية,negative,negative,0.85
عدم التواصل في الانشطة - عدم التواصل في الانجازات المحققة,negative,negative,0.85
الارتباط بالشخص والعلاقات الشخصية مع الادارة,neutral,neutral,0.7
ضعف مهام الهيئة الاستشارية وضعف الاستجابة إلى آرائها,neutral,negative,0.85
عدم معرفة المواطن باختصاصات الجماعة ومشاريعها,negative,negative,0.7
إشكال الثقة وعدم تعرف المواطن على المشاريع المبرمجة في الجماعة,negative,negative,0.85
ضعف المشاركة المواطنة في إعداد البرنامج التنموي و محدودية مشاركة الهيئة الاستشارية,negative,negative,0.85
ضعف المشاركة المواطنة,negative,negative,0.85
مشكلة التواصل على مستوى اللغة,negative,negative,0.7
عدم تمكين المواطن من حقه في الولوج إلى المعلومة,negative,negative,0.85
انعدام مكاتب الاستشارة والتوجيه وضعف المعلومة لدى المواطن,negative,negative,0.85
"عدم فهم الساكنة للمشكلة المطروحة, المساطر الإدارية، ونسبة عالية من الأمية",negative,negative,0.85
الأحكام المسبقة على المؤسسة وانعدام الثقة,negative,negative,0.85
المهاجرون يجدون صعوبات كثيرة مع الخدمات والمصادر الإدارية عندما يقومون بزيارة إلى منطقتهم,negative,negative,0.75
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
", ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة بالصناعة المنجمية فقط وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
", ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
غياب جمالية الأحياء,negative,negative,0.85
ضعف دعم الأنشطة الثقافية,negative,negative,0.85
غياب دور السينما والمركبات الثقافية أو صالونات الأدبية,negative,negative,0.75
إهمال فضاءات الخضراء في الأحياء,negative,negative,0.85
قلة العرائض,negative,negative,0.7
يتيح القانون التنظيمي رقم 113.14 المتعلق بالجماعات (المادة 119) احداث اليات تشاركية للحوار والتشاور لتيسير مساهمة المواطنات والمواطنين والجمعيات في اعداد برامج العمل وتتبعها وخاصة الهيئات الاستشارية المحدثة بشراكة مع فعاليات المجتمع المدني، الا أن دور هذه الهيئات يقتصر على المهام الاستشارية (أراء، خبرات أو دراسات). ويلاحظ أن انعدام اليات للتنسيق فيما بينها والعمل المشترك لدراسة القضايا المركبة يحد من المساهمة الفعالة لهذه الهيئات تجويد السياسات المحلية.,neutral,neutral,0.85
إن الآراء الصادرة عن الهيئات الاستشارية سواء بمبادرة منها أو بطلب من مجلس الجماعة لا تجد في كثير من الاحيان طريقها نحو التفعيل أو الاخذ بعين الاعتبار إما بسبب ضعف الصياغة و التعليل أو عدم تحديد اليات التنفيذ أو ضعف التزام و انخراط الجماعة في الممارسة الاستشارية.,neutral,negative,0.85
"-انتشار الأزبال والنفايات بالمدينة داخل الأحياء السكنية وحول حاويات النفايات.
- نسجل تردي الفضاءات الخضراء من حيث المزروعات وأيضا المحافظة على خضرتها.
- انتشار الأزبال داخل الأحياء",negative,negative,0.95
‏إشكالية الروائح من محطة معالجة النفايات في مدخل مدينة أزيلال,neutral,negative,0.75
"‏غياب مقاربة النوع في الساحات العمومية وملاعب القرب , ‏وعدم استعمال النساء والفتيات للفضاء العمومي",negative,negative,0.85
الحاجة في تطوير آليات التشخيص ورصد قصد جمع وتحليل المعطيات و تشخيص حول في النساء بدون مأوى وأتعرف على الوضعية والمساهمة في تحسين وضعية وتقديم معطيات,neutral,neutral,0.8
الموقع الأثري غير معروف محليا وطنيا ودوليا ، غياب فضاءات ترفيهية به و ضعف التشوير + عدم نشر البحوث حوله + قلة الموارد البشرية المكونة والباحثين,negative,negative,0.85
غياب الاهتمام بالتراث المادي ولا مادي,negative,negative,0.85
ضعف تمويل المهرجانات ‏الثقافية والفنية,negative,negative,0.85
‏عدم تجميع الوثائق التاريخية وغياب متحف مكتبة خاصة بالأرشيف و تاريخ المدينة,negative,negative,0.85
قلة اللقاءات ‏التواصلية مع المواطنين والمواطنة,negative,negative,0.7
ضعف التشوير بالنسبة للملحقات داخل مركز الجماعة,negative,negative,0.8
ضعف تكوين الموارد البشرية في التواصل,negative,negative,0.85
الاشكال : الإنارة العمومية في الأحياء الهامشية,negative,negative,0.75
غياب ونقص في ‏لولوجيات,negative,negative,0.75
‏عدم وجود فضاء مخصص للمجتمع المدني من أجل تبادل الأفكار والتجارب و التشبيك,negative,negative,0.85
احتكار الأرصفة استغلال الملك العام / الاشكال الباعة المتجولون,negative,negative,0.85
مشكل ‏الاكتضاض ‏ بالمقاطعات + ‏هدر الوقت,negative,negative,0.85
‏غياب المراحيض العمومية,negative,negative,0.85
قوارب لنقل المصطافين ممنوعة من التنقل,negative,negative,0.75
مشكل التشوير والجولان,negative,negative,0.7
ضعف في النشر الاستباقي للمعلومة,negative,negative,0.85
عدم نشر تقارير التدقيق,neutral,negative,0.75
‏تجربة فريدة من نوعها لكن تحتاج تثمين بطريقة أكثر وأوسع,positive,positive,0.7
إشكالية التطوير تجربة الميزانية التشاركية في‏ نسختها الثالتة,neutral,neutral,0.85
ضعف ثقافة النشر والتواصل الخاصة بالموظفين,negative,negative,0.85
عدم توفر الجماعة على مخطط التواصل.,negative,negative,0.75
‏إشكاليات متعلقة بالتواصل,neutral,negative,0.7
"الإشكاليات المتعلقة بتنزيل ‏وتنشيط مكتب المواطن
خلط ‏المواطنين بين مكتب المواطن و مكتب الشكايات
‏عدم وضوح دور مكتب المواطن بالنسبة للمواطنين",neutral,negative,0.75
غياب الموارد البشرية المؤهلة في مجال الرقمنة,negative,negative,0.8
عدم تحديث الموقع الإلكتروني للجماعة و تحيينه,neutral,negative,0.75
بعض المصالح الجماعية غير مرقمنة,negative,negative,0.7
‏أشكال تنزيل مشروع خلق فضاءات خضراء وتهيئةتها بالمزهريات والكراسي بطريقة ‏تشاركية,neutral,positive,0.85
غياب الموارد البشرية في المجال القانوني,negative,negative,0.7
عدم تحديد المهام في المصالح الإدارية,neutral,negative,0.75
ضعف التكوين والتأهيل بالنسبة للموظفين,negative,negative,0.85
"عدم الالتزام وعدم توفير التمويلات الهيئات الاستشارية, ‏وضعف تكوين أعضائها",negative,negative,0.9
‏عدم توفر على مخطط التكوين الخاص بجماعة,negative,negative,0.7
إشكالية متعلقة بنظام العنونة للمدينة,neutral,negative,0.7
غياب العدالة المجالية على مستوى تنزيل المشاريع المبرمجة في إطار برنامج التنمية الجهوي؛ عدم ملائمة بعض المشاريع مع خصوصيات الجهة (كل إقليم)؛ عدم التحديد الدقيق للأولويات في مرحلة التنزيل (غياب الحكامة),negative,negative,0.85
غياب العدالة المجالية على مستوى تنزيل المشاريع المبرمجة في إطار برنامج التنمية الجهوي؛ عدم ملائمة بعض المشاريع مع خصوصيات الجهة (كل إقليم)؛ عدم التحديد الدقيق للأولويات في مرحلة التنزيل (غياب الحكامة),negative,negative,0.85
عدم التفاعل السريع مع شكايات المواطنين؛ نظام المراسلات وتقديم الشكايات ما يزال تقليديا وورقيا,negative,negative,0.85
غياب الوعي لدى المواطنين باليات الديمقراطية التشاركية,neutral,negative,0.7
غياب الوعي لدى المواطنين باليات الديمقراطية التشاركية,neutral,negative,0.7
غياب التمكين المادي والمعرفي للهيئات الاستشارية,neutral,negative,0.85
عدم توفير بوابة إلكترونية وتطبيقات رقمية لدعم مشاركة المواطنين في الإعداد؛,negative,negative,0.7
غياب رقمنة تتبع ومعالجة الملفات المتعلقة بحاملي المشاريع سواء تعلق الأمر بالأفراد، الجمعيات والتعاونيات؛,negative,negative,0.75
عدم التفاعل السريع مع شكايات المواطنين؛ نظام المراسلات وتقديم الشكايات ما يزال تقليديا وورقيا,negative,negative,0.85
صعوبة الحصول على المعلومة (من حيث النشر والإعلام)؛ غياب التواصل والاتصال (الأفقي والعمودي/الداخلي والخارجي)؛,negative,negative,0.85
نظام الأرشفة والتوثيق ما يزال تقليديا.,neutral,negative,0.7
غياب المعلومات الخاصة بالشركات الحاصلة على الصفقات العمومية؛,negative,negative,0.7
غياب التمويل,negative,negative,0.85
تفشي الامية المعلوماتية و ضعف الصبيب و ضعف تطوير الرقمنة و تعميمها,negative,negative,0.85
عدم تفعيل الاصلاح الاداري,negative,negative,0.85
عدم الالمام بالقانون 31/13 و تعقيد المسطرة الادارية المتعلقة به,negative,negative,0.85
ضعف التجاوب في شأن الشكايات الواردة,negative,negative,0.85
ضعف التواصل والتسويق للمنصات الرقمية داخل الجماعة,negative,negative,0.85
عدم وجود أماكن لتعليم الثقافة و التراث المازيغي,negative,negative,0.85
صعوبة و ضعف التسويق للتراث المادي و لا مادي للمنطقة,negative,negative,0.85
المحافظة على الفلكلور الامازيغي,neutral,positive,0.7
اتثمين الزربية الامازيغية,negative,neutral,0.7
الهدر المدرسي,negative,negative,0.7
عدم التزام التجزئات و الوداديات باحترام المجال الطبيعي,neutral,negative,0.85
أهمية المساحات الخضراء,neutral,neutral,0.7
قلة المساحات الخضراء مقرنة مع التوسع العمراني و عدم استجابتها للمعايير,negative,negative,0.85
عدم وجود التشوير و الولوجيات ( التشوير العمودي و الافقي),neutral,negative,0.8
تعميم و تأهيل و تعبيد الطرقات العامة و الارصفة,neutral,positive,0.8
نقص في مستوصفات القرب من الجيل الجديد,negative,negative,0.85
المتشردين و المختلين عقليا,negative,negative,0.8
عدم مأسسة التواصل بالجماعة غياب خطة للتواصل الداخلي والخارجي,negative,negative,0.85
غياب نظام ذكي لترشيد النفقات وضمان تتبع سير الاشغال ومراقبتها,neutral,negative,0.85
" غياب الحق في المعلومة والتواصل 
 عدم توفر الجماعة على خلية او وحدة مكلفة بالتواصل",negative,negative,0.85
" ضعف الرقمنة في المرافق العمومية الجماعية 
 الأمية الرقمية 
 عدم وجود نظام رقمي لتتبع وتقييم عمل الموظفين",negative,negative,0.85
غياب مكتب للشكايات,negative,negative,0.85
" التسيير التقليدي للإدارة 
 عدم تتبع المشاريع المنجزة ومنشئات المدينة 
 غياب رقم اخضر خاص بتلقي ملاحظات او طلبات المواطنين 
 ضعف الثقة بين الساكنة والمنتخبين",negative,negative,0.85
" فقدان الثقة في المؤسسات المنتخبة 
 عدم مسايرة والمام المواطنين/ات بالحقوق والواجبات 
 ضعف مسايرة المواطنين للإدارة 
 ظاهرة ترييف المدينة وغياب ضوابط للبناء للحفاض على جمالية المدينة",negative,negative,0.85
" ضعف التعريف بمقررات المجلس وببرنامج عمل الجماعة 
 محدودية الإجراءات المتخذة لتحسيس المواطنين/ات بواجباتهم وحقوقهم تجاه الجماعة 
 غياب مقاربة عملية لاستقراء اراء المواطنين/ات وتقييم مدى رضاهم عن الخدمات الجماعية المقدمة لهم",negative,negative,0.85
" غياب الرقمنة 
 عدم تجويد الخدمات 
 ضعف لتواصل مع المواطنين/ات",negative,negative,0.9
ضعف امكانات وقدرات المجتمع المدني,negative,negative,0.85
عدم اشراك الجماعة للمواطن,neutral,negative,0.85
انتشار الأنشطة الصناعية الملوثة بالأحياء السكنية,negative,negative,0.85
"‏منصة الولوج إلى المعلومة ‏ ""شفافية "" غير مستثمرة بالشكل المطلوب من طرف المواطنين
عدم معرفة كيفية ‏الولوج إليها .
عدم معرفة بوجودها من طرف المواطنين وحتى الجمعيات.",negative,negative,0.85
ضعف الاستفادة من التكنلوجيا الرقمية في تدبير عمل وأنشطة المصالح الجماعية.,negative,negative,0.85
ضرورة التزام ‏الشفافية في توزيع الماء الصالح للشرب والكهرباء و وتدبير الصرف الصحي والنفايات,neutral,neutral,0.8
- ضعف الأخذ بعين الاعتبار برأي المواطنين في منح التراخيص لمزاولة بعض الأنشطة المزعجة والملوثة؛,negative,negative,0.85
- محدودية المشاركة المواطنة في تدبير الشأن المحلي وفي تقييم جودة الخدمات التي تقدمها المرافق العمومية؛,negative,negative,0.75
عدم المام المواطن بالمعلومة عبر المنصات الرقمية,negative,negative,0.7
ضعف المعرفة بالاجال المحددة لدراسة الملفات,negative,negative,0.85
غياب منصة تفاعلية بين الجماعة والمواطن مما يكرس ضعف وانعدام التواصل,negative,negative,0.85
نذرة المياه,negative,negative,0.8
"تدهور الغطاء الغابوي والمساحات الخضراء
التوسع العمراني على حساب المناطق الخضراء دون احترام دفتر التحملات",negative,negative,0.85
معالجة المياه العادمة,neutral,neutral,0.9
مفتوح مطرح النفايات,negative,negative,0.85
ضعف اشراك المواطنين في الشان العام,negative,negative,0.85
"تعزيز وتوسيع مشاركة المواطنين 
مشاركة منسباتية",positive,neutral,0.7
"تعزيز وتوسيع مشاركة المواطنين
مشاركة منسباتية",positive,neutral,0.7
ضعف انخراط المراة في تدبير االشأن العام,negative,negative,0.85
صعوبة فهم واستعاب الميزانيةالجماعية,negative,negative,0.75
"الوصول للمعلومة الصحيحة 
غياب بوابة تفاعلية خاصة بالجماعة",neutral,negative,0.75
صعوبة الوصول الى المعلومة,negative,negative,0.8
ضعف التواصل,negative,negative,0.85
نقص في الاحساس بالانتماء الترابي,negative,negative,0.85
ضعف اشراك المواطن في تحديد الاحتياجات وايجاد الحلول,negative,negative,0.85
عدم الالتقائية بين المشاريع والاستراتيجيات الكبرى,neutral,negative,0.85
عدم اشراك الجماعة للمواطن,neutral,negative,0.85
ضعف استعمال الرقمنة,negative,negative,0.8
عدم تقييم وتتبع البرامج المنجزة,negative,negative,0.85
نقص في اشراك المواطن في انفاذ القرار المحلي,negative,negative,0.85
اشكالية التواصل,neutral,neutral,0.7
نقص في تفاعل المجتمع المدني مع القضايا المحلية,negative,negative,0.85
نقص في تاطير الموظفين والمنتخبين في التدبير التشاركي,negative,negative,0.8
عدم التشاركية في تنزيل برنامج عمل الجماعة,negative,negative,0.85
ماهي اوجه التشاركية في الممارسة العملية,neutral,neutral,0.85
عدم ادماج المجتمع المدني في العمل الجماعي وتتبع القرارات,negative,negative,0.85
النقص في الموارد البشرية,negative,negative,0.7
انعدام الولوجيات في الادارة العمومية,negative,negative,0.85
فقدان الثقة بين المواطن والادارة,negative,negative,0.85
عدم توحيد المساطر الادارية في الجماعات,negative,negative,0.75
عدم الدراية بالنصوص القانونية الجديدة والتي لها ارتباط بالمقاربة التشاركية,negative,negative,0.7
انعدام التحسيس بالمشاركة المواطنة والياتها,negative,negative,0.85
صور نمطية عن الادارة بشكل عام والجماعة بشكل خاصة,neutral,negative,0.7
SMARTعدم الاشتغال بالاهداف,neutral,neutral,0.7
عدم الاشتغال بمؤشرات الاداء والفعالية والنجاعة,negative,negative,0.85
عدم تنظيم دورات تكوينية للتلاميذ والطلبة حول طريقة اشتغال الجماعات الترابية,neutral,negative,0.7
l'entree d'azrou vers khinfra (croisement ait yahya oulla ) est manque d'eclairage publique,neutral,negative,0.85
عدم توفر الطابع الموضوعاتي للموقع الالكتروني (الرسوم ، الاطلاع على الخدمات ..),negative,negative,0.85
ضعف تعامل المرتفقين /ات مع الموقع الالكتروني للجماعة والبوابات المخصصة للشكايات والوثائق,negative,negative,0.85
ضعف التواصل بين الجماعة ووسائل الاعلام,negative,negative,0.85
عدم اخبار المواطنين/ات بالأشغال المنجزة داخل الاحياء,negative,negative,0.75
الاشكالات المتعلقة بتواصل الجماعة مع المواطنين (عدم ايصال المعلومة في الوقت المناسب من طرف الجماعة ),neutral,negative,0.85
غياب الثقة بين المواطن والجماعة المحلية,negative,negative,0.85
غياب الثقة بين المواطن والجماعة المحلية,negative,negative,0.85
غياب التواصل بين الجماعة والمواطن,negative,negative,0.8
صعوبات الولوج إلى الخدمات,neutral,negative,0.75
النقص الحاصل في جودة بعض الخدمات (النظافة - النقل ... ألخ),negative,negative,0.85
ضعف التواصل بين الجماعة والمواطنين,negative,negative,0.85
ضعف التواصل بين الجماعة والمواطنين,negative,negative,0.85
,neutral,neutral,0.5
غياب التكوين للموارد البشرية المكلفة بتدبير المجال الرقمي,negative,negative,0.75
غياب صبيب الانترنيت في الفضاءات العمومية لفائدة الشباب والساكنة لحثهم على استعمال التواصل الرقمي مع الجماعة,neutral,negative,0.7
غياب الشبابيك الخدماتية الرقمية,negative,negative,0.85
عدم ملائمة الكثير من البرمجيات الالكترونية مع الاجراءات الادارية اليومية,negative,negative,0.85
ضعف الانخراط في المرافق الجماعية الموجودة بالأحياء,negative,negative,0.85
غياب الجمعيات المعنية بقضايا الشباب,neutral,negative,0.85
ضعف الحوار والتشاور ( مثلا مع الباعة المتجولين: عرقلة السير، مشكل النظافة، الحرفيون المتواجدون بمختلف مناطق المدينة وخصوصا الذين يزاولون حرفا مضرة بصحة الساكنة...),negative,negative,0.85
ضعف اشراك المجتمع المدني في القضايا المرتبطة بالمهاجرين في وضعية غير قانونية,negative,negative,0.85
ضعف تواصل المواطنين/ات والجماعة,negative,negative,0.85
الموقع الالكتروني للجماعة غير تفاعلي,negative,negative,0.75
عدم توفر الجماعة على مكتب الاستقبال والتوجيه,negative,negative,0.85
عدم توفر الجماعة على ملحقات ادارية تقرب خدماتها من المواطنين/ات,negative,negative,0.85
ضعف الموارد البشرية في مجال الرقمنة وغياب متخصصين في المجال لذا الجماعة,negative,negative,0.75
عدم تعميم رقمنة الخدمات,neutral,negative,0.85
عدم معرفة الساكنة باختصاصات الجماعة,negative,negative,0.7
ضعف انخراط جمعيات المجتمع المدني في التعريف بخدمات الجماعة والتحسيس والتعريف بالموقع الالكتروني,negative,negative,0.75
عدم تعامل المواطن مع البوابات المتوفرة (شكايتي – وثيقتي),negative,negative,0.75
عدم قيام جمعيات الاحياء بالدور المنوط بها لتنظيم حملات تحسيسية وتوعوية حول المشاركة في التنمية المحلية,negative,negative,0.75
عدم حضور المواطن لدورات المجلس المفتوحة للعموم,negative,negative,0.7
عدم حضور المواطن لدورات المجلس المفتوحة للعموم,negative,negative,0.7
ضعف تواصل المنتخبين مع المواطنين,negative,negative,0.85
موسمية عمل الهيئات الاستشارية؛,neutral,neutral,0.85
غياب التواصل مع وسائل الاعلام بالجهة؛,negative,negative,0.75
عدم نشر توجهات التصميم الجهوي لإعداد التراب SRAT,neutral,negative,0.7
محدودية إشراك الهيئات الاستشارية في إعداد البرامج التنموية,negative,negative,0.75
غياب اليات تفعيل المشاركة المواطنة والديمقراطية التشاركية على مستوى جمعيات المجتمع المدني، خاصة تقديم العرائض والملتمسات لسلطات المختصة,negative,negative,0.85
اعمال اليات الديمقراطية التشاركية والمشاركة المواطنة.,neutral,positive,0.8
ضعف التغطية بشبكة الانترنت في أوساط العالم القروي,negative,negative,0.85
ضعف التسويق الترابي للبرامج والمشاريع التنموية للجهة.,negative,negative,0.85
غياب التواصل الرقمي على مستوى تيسير جعل برنامج التنمية الجهوية رهن إشارة المواطنات و المواطنين و الجمعيات و الهيئات الاستشارية أيضا,negative,neutral,0.8
تحقيق عدالة مجالية في مجال التكوين الذي يهم الهيئات على مستوى جماعات أقاليم الجهة.,neutral,positive,0.7
الحاجة الى تفعيل دليل المساطر الخاص بالهيئات و خاصة هيئة المساواة و تكافؤ الفرص و مقاربة النوع و احترام مضامينه,neutral,neutral,0.75
عدم إلمام فعاليات المجتمع المدني بتقنيات تدبير العرائض,negative,negative,0.7
غياب التعاون و تبادل الخبرات بين الجهات و الجماعات للاستفادة من التجارب المتراكمة في مجال الديمقراطية التشاركية .,neutral,negative,0.75
غياب التحسيس بأهمية الديمقراطية التشاركية و خاصة على مستوى المنتخبين,negative,negative,0.85
أرى أن رقمنة الإدارة بجهة الداخلة وادي الذهب وخصوصا مكتب الضبط لا يزال ضعيفا,negative,negative,0.8
تكوين العنصر البشري,neutral,neutral,0.7
غياب خلية للتواصل,negative,negative,0.8
عدم توفر الجماعة على مكتب للاستقبال وتوجيه المواطنين/ات,negative,negative,0.75
قلة المعلومات المتواجدة بالموقع الكتروني و بصفحة الفايسبوك الخاصة بالجماعة,negative,negative,0.7
ضعف انفتاح الجماعة على محيطها و ضعف التواصل في علاقة الادارة الجماعية بالمواطنين,negative,negative,0.85
عدم توفر الجماعة على رقم أخضر يسمح للمواطنين/ات بالتواصل وتقديم الاقتراحات والشكايات المباشرة بخصوص الخدمات الجماعية,neutral,negative,0.75
ضبابية الأدوار بين الموظفين,negative,negative,0.75
انعدام الولوجيات للاشخاص في وضعية اعاقة,negative,negative,0.85
المعدات المعلوماتية غير كافية وغير محدثة,negative,negative,0.85
غياب مصلحة للنظام المعلوماتي,negative,negative,0.85
خصاص حاد في الكفاءات المعلوماتية لمواكبة مشروع الرقمنة,neutral,negative,0.85
غياب رقمنة مكتب الضبط,negative,negative,0.85
الموقع الالكتروني الحالي غير محين وغير تفاعلي,negative,negative,0.85
عدم وجود مخاطب وحيد للاجابة تساؤلات المواطنين/ات وغياب التنسيق في التواصل,neutral,negative,0.85
ضعف ثقافة التطوع لدى الشباب وعزوفهم عن المشاركة المجتمعية,neutral,negative,0.85
ضعف التواصل بين مجلس الجهة والهيئات الاستشارية لتزويد هده الاخيرة بالمعلومات الكافية لتتبع سيرورة عمل المجلس,negative,negative,0.85
ضعف تجويد الخدمات وغياب مبادرات للارتقاء بها وتثمينها,negative,negative,0.85
ضعف اشراك المجتمع المدني في الشأن الجهوي,negative,negative,0.85
عدم معرفة المواطنين بكيفية اشتغال مجلس الجهة واختصاصاته و غياب ممارسة حقه في الوصول الى المعلومة,negative,negative,0.85
