article_url,commenter,comment_date,comment
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,زاءر غريب,الإثنين 9 دجنبر 2024 - 10:15,أين هو شعار :  بالدم بالروح نفديك يا رءيس .هذه الجملة تقال خوفا من العقاب والسجن والقهر والعذاب من النظام الفاسد والمفسدسقوط الطاغية الأسد المفترس الذي قتل ودبح وسجن وعذب وشرد الشعب السوري الأبي . .فالشعب قال كلمته.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,khalid52,الإثنين 9 دجنبر 2024 - 10:15,أظن كان هناك إتفاق لتسليم السلطة بطريقة سلميّة و لكن أهم شيء أن تتحرر الجزائر من الجنرالات و أن يعودوا لصوابهم و أن يعلموا أنهم بدون أصل و خليط من تركيا و فرنسا للآسف
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,يوسف,الإثنين 9 دجنبر 2024 - 10:18,مشاكلنا لن تحل بعلاقة مع سوريا الهاشة أو أمثالها مشاكلنا حلولها  في تقوية علاقة المواطنين بالسياسة عن طريق تقوية الديمقراطية وتخفيف التهميش والفقر و محاربة الفساد. آنذاك سوريا هي التي ستسعى الى خلق علاقة مع المغرب.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,موسى,الإثنين 9 دجنبر 2024 - 10:19,سقوط بشار الأسد أثلج صدري و حسبنا الله ونعم الوكيل فيه و هنيئا للشعب السوري الواحد الموحد العظيم الشقيق الحر المحترم و نتمنى لهم إلا الخير و النجاح والتوفيق و التضامن في ما بينهم بجميع أطيافهم.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,سيمو,الإثنين 9 دجنبر 2024 - 10:24,بكل حكمة الثورة التي تعطي الفرصة لامريكا والكيان الصهيوني بأن تسيطر عليك وتخضعك لها ففي نظري ثورة فاشلة.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,محمد,الإثنين 9 دجنبر 2024 - 10:32,إن ماتنتظره سوريا هو نظام يعترف بكل الأقليات وتداول السلطة عن طريق الإقتراعوأن يرشح للرئاسة من هو الأصلح لذالك حتى توزع ثروة البلاد لكل المواطنين.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,Anakonda,الإثنين 9 دجنبر 2024 - 10:35,الدور على النظام الجزائري الفاشي الذي يهدد السلم و الأمن الإقليمي و الدولي في انتظار تصنيف البوليزاريو منظمة إرهابية و كرغوليا دولة راعية للإرهاب
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,مواطن,الإثنين 9 دجنبر 2024 - 10:37,سوريا اليوم  عهد جديد . لكن حداري  اما دولة متحدة او امارات .  كل هذه الدول لها اطماع امريكا اسراءيل تركيا روسيا الشيعة ايران .سوريا لها طواءف حداري من التفرقة  الداخلية  اكبر مشكل  يجب التنازل والاتحاد ولم شمل الدولة لتكون قوية .وليس دويلات .
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,متتبع,الإثنين 9 دجنبر 2024 - 10:38,سوريا و المغلب علاقة قوية شعبهم يعيش معنا و يعرفون اخلاقنا
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,للتصحيح فقط,الإثنين 9 دجنبر 2024 - 10:38,النظام السوري مول وسلح ودعم البوليزاريو مند السبعينات وليس من الستينات…للتصحيح فقط….
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,الزاز,الإثنين 9 دجنبر 2024 - 10:41,شوهد بشار الأسد مع أبنائه في احد الرومبوانات قرب الفوروج في موسكو وهو يمد يده إلى السائقين يطلب المساعدة كلاجئ سوري !!
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,ABC,الإثنين 9 دجنبر 2024 - 10:44,لقد قام النظام العسكري الجزائري بتغذية النظام السوري المستبد الذي قتل مئات الآلاف من السوريين بأكياس قماش مليئة بالعملة الصعبة. ستحاسبون في الدنيا قبل الآخرة أيها النظام الفوضوي الدموي الذي جعل الجزائر أضحوكة العالم.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,كمال,الإثنين 9 دجنبر 2024 - 10:48,كان المغرب دائما في مفترق الطرق مع النظام السوري الخائن و الغادر و المتخاذل و المنافق إن هذا النظام المتخادل خدل بالتجريدة العسكرية المغربية في 1973 حين كان المغرب يدافع عن سوريا و استشهد عدد كبير من المغاربة هناك هنيئا للشعب السوري من تخلصه من الأسد و أتباعه و من نظامه و هذه نهاية كل ظالم مستبد
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,واقعي,الإثنين 9 دجنبر 2024 - 10:48,آخر نظام دموي في العالم العربي والذي أتمنى أن يختفي في أسرع وقت إن شاء الله هو النظام الجزائري
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,دلع,الإثنين 9 دجنبر 2024 - 10:52,موقف سوريا من وحدتنا الترابية لا يؤثر عليها. سوريا ليست عضوا دائما بالامام المتحدة وليس لها سيادة دولية. بل هي كانت حتى الأمس تسترزق من روسيا وايران فلذا فهي كانت تعمل بما يتلونه عليها.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,إلى سيمو المعلق 6,الإثنين 9 دجنبر 2024 - 10:55,باختصار ،بشار الأسد ارتكب جرائم بشعة لا تغتفر و أول عدو لذوذ للشعب السوري هو بشار الأسد بوحدوه و سير بحث مزيان و راه ساهل تبحث و ساهل تعرف الحقيقة.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,متتبع,الإثنين 9 دجنبر 2024 - 11:00,حقيقة لا تقبل الجدل: النظام العسكري الجزائري كان من الأنظمة الأقرب للنظام السوري، والذي ارتكب مئات الآلاف من الجرائم بحق السوريين.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,سيمو الرباطي,الإثنين 9 دجنبر 2024 - 11:01,كل الظالمين والطغاة على شعوبهم يسقطون كأوراق الشجر.ها هو عشرين أو ثلاثين سنة من الحكم بالنار والحديد والتعذيب مصيره الهروب واللجوء. لكن مع الله ليس هناك لجوء.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,متسائل,الإثنين 9 دجنبر 2024 - 11:12,أريد أن أفهم، كيف يمكن للنظام العسكري الجزائري أن يهتف “مع فلسطين ظالمة أو مظلومة”، وفي الوقت نفسه يقدم المساعدة لنظام بشار المستبد لقتل مئات الآلاف من السوريين!
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,الحقيقة المرة,الإثنين 9 دجنبر 2024 - 11:35,النظام العسكري الجزائري يهتف “مع فلسطين ظالمة أو مظلومة”، لكنه في الوقت نفسه يساعد نظام بشار الطاغية على قتل مئات الآلاف من السوريين! هل السوريون  يجب تعذيبهم وقتلهم أيها النظام المجرم؟
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,منير,الإثنين 9 دجنبر 2024 - 12:07,النظام الجديد في روسيا يعرف جيداً ما قدمه نظام العسكر الإرهابي في الجزائر للمجرم بشار الأسد لقتل وتهجير الشعب السوري العظيم. ويعرف جيداً مواقف المغرب تجاه ما اقترفه المجرم بشار في حق شعبه.وعلى الدبلوماسية المغربية التحرك لربط علاقات متينة مع القيادة الجديدة في سوريا وتقديم الدعم لها من أجل الانضمام إلى الدول العربية في الجامعة العربية ومجلس الخليج في قضية وحدتنا الترابية وبالتالي صفع وتعميق عزلة جزائر العصابة التي لم تترك ولا دولة عربية مسلمة وإفريقية إلا وتٱمرت عليها وشاركت في زعزعة استقرارها
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,خالي محمد,الإثنين 9 دجنبر 2024 - 12:21,كلنا يتذكر ما قيل وما وقع في العراق اللهم أصحاب العقول الصغيرة. ونتمنى ان يستوعب هؤلاء الدروس ما يجري في المحيط.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,طاطا,الإثنين 9 دجنبر 2024 - 12:30,الإشكال ليس في تنحية وفصل الأسد عن السلطة، بل المشكل يكمن فيما بعد الأسد.كل الدول العربية التي أسقطت أنظمتها لم تنعم إلى اليوم بالأمن والاستقرار، ولكن يكون مصير سوريا مختلفا عما يجري إلى اللحظة في العراق التي أسقطت صدام وفرح الشعب لإعدامه.نفس الأمر بالنسبة لليبيا واليمن والسودان وغيرها.أعتقد بأن المستفيد الأكبر من هذه “الإسقاطات” هو الكيان الصهيوني المدعوم بقوة من طرف الغرب، بينما الخاسر الأكبر هو الشعب العربي المسلم الذي يجني ثمار ما اقترفته يده.أعتقد كذلك بأن أي رئيس استعصى أمره على إسرائيل يكون مستهدفاً حتى إسقاطه كما هو الحل بالنسبة للعقيد القذافي وعمر حسن البشير وبشار حافظ الأسد وهلم جرا.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,ولد حميدو,الإثنين 9 دجنبر 2024 - 13:08,مند مدة كان حاكما على دمشق و بعض الجهات لا يتحكم فيها كليا و المعارضة وضعته في قاعة الانتظار و بالنسبة الي سقط بشار و لكن كم اخد من مليار  بدون محاسبةبعض الدول يهمها الغنيمة و ليس الانسانية او بالنسبة لروسيا ربما ترد الجميل لسوريا لانه عندما انهار الاتحاد السوفياتي فروسيا لم تجد اي شيء فسوريا هي من كانت تزودها بالضروريات و ترسل لها حتى السجاءر
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,عبد الحق العلوي,الإثنين 9 دجنبر 2024 - 13:12,هؤلاء الذين قاموا بسقاط نظام الأسد ليسوا أغبياء سيستفيدون من تجارب إسلامية في الحكم  مصر مع مرسي و تونس كع الغنوشي وطالبان في أفغانستان  كل هذه التجارب ستكون حاظرة لدى القيادة الجديدة لسوريا و كل تفاقيات ابرمها الأسد سعاد فيها النظر و تفاقية التعاون بين سوريا. الجزائر ستكون حاظرة  اليوم على الدبلوماسية المغربية ان تكون ذكية و تتحرك بفعالية لشرح القضية الوطنية للقيادة الجديدة و لا تنتظر مباركة الدول لهذه الدولة الجديدة  المهم هو مصلحة المغرب. الدفاع عنها و اضن لا توجد دولة إسلامية او لها توجه إسلامي تساند  بلزاريو الان الدول الإسلامية لا ترغب في تفرقة.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,سفيان الهولندي,الإثنين 9 دجنبر 2024 - 13:54,اول ما لفت إنتباهي في الأخبار القادمة هي لقطة الفيديو لساحة الامويين وشارع المهددين بن مبركة المناضل المغربي المشهور.
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,سارة الالشي,الإثنين 9 دجنبر 2024 - 14:59,نتمنى من المملكة المغربية وعلى رأسها صاحب الجلالة ارسال مساعدات عاجلة للشعب السوري من مواد طبية و اغطية و كوادر اسعافية و مواد غذائية لاغاثة اخوانهم في سوريا في هذه المرحلة المفصليةلن ينسى السوريين وقوف المملكة معهم سنة 2013 وزيارة صاحب الجلالة لمخيم الاردن وانشاء مستشفى ميداني وهو ما تعودت عليه المملكة في مساعدة الاخوة العرب
https://www.hespress.com/%d8%b3%d9%82%d9%88%d8%b7-%d9%86%d8%b8%d8%a7%d9%85-%d8%a8%d8%b4%d8%a7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b3%d8%af-%d9%8a%d8%b6%d8%b9-%d8%a7%d9%84%d8%b9%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%88-1477900.html,Citizen,الإثنين 9 دجنبر 2024 - 15:07,نتمنى أن لانرى نتائج سلبية مثل ماحصل وما زال يحصل في ليبيا  والسودان والعراق وحتى في تونس ومصر. فالعدو الصهيوني هو أول من استغل الوضع في الجولان ومازال يقصف في عمق سوريا. هل سيجد من يوقفه على حده. فالصراعات على السلطة والجشع والتفرق تجعل الدول العربية ضعيفةجدا وتسهل المخططات الصهيونية. ومقولة اتفق العرب ان لا يتفقو هي ماتراه يوميا.
