titles,CT,Collectivité territorial,المواضيع
خلق شبكة الكترونية للتواصل الداخلي,جماعة طنجة,Commune Tanger,الحكامة الداخلية
تجويد آليات التواصل,جماعة العرائش,Commune Larache,التواصل
اعداد دليل ترويجي لابراز مؤهلات جماعة العرائش السياحية,جماعة العرائش,Commune Larache,الجاذبية الترابية
الصيانة و المحافظة على المناطق الخضراء,جماعة العرائش,Commune Larache,البيئة
ميزانية المواطن,جماعة العرائش,Commune Larache,الميزانية
الميزانية التشاركية,جماعة العرائش,Commune Larache,الميزانية
إحداث المجلس الجماعي للشباب,جماعة العرائش,Commune Larache,المشاركة المواطنة
إنشاء قسم التواصل و تزويده باللوجستيك و الموارد البشرية,جماعة العرائش,Commune Larache,التواصل
إحداث هوية بصرية للمدينة ( مثلا حمامة تطوان ),جماعة العرائش,Commune Larache,التواصل
تدبير ملاعب القرب,جماعة الحسيمة,Commune Al Hoceima,الرياضة
تأهيل شواطئ المدينة,جماعة الحسيمة,Commune Al Hoceima,"الجاذبية الترابية 
البيئة"
احداث مرصد للبيئة بجماعة الحسيمة,جماعة الحسيمة,Commune Al Hoceima,الرياضة
تمكين الشباب وتأهيلهم من أجل مشاركة فاعلة في تدبير الشأن المحلي,جماعة الحسيمة,Commune Al Hoceima,المشاركة المواطنة
المساحات الخضراء,جماعة الحسيمة,Commune Al Hoceima,البيئة
تمكين الاشخاص في وضعية اعاقة والمسنين من الولوج الى المرافق والساحات العمومية,جماعة الحسيمة,Commune Al Hoceima,الإعاقة
اعداد ميزانية تشاركية,جماعة الحسيمة,Commune Al Hoceima,الميزانية
الرقمنة و التواصل,جماعة شفشاون,Commune Chefchaouen,التواصل
المعلومة,جماعة شفشاون,Commune Chefchaouen,الولوج إلى المعلومة
الميزانية التشاركية,جماعة شفشاون,Commune Chefchaouen,الميزانية
مكتب المواطن,جماعة شفشاون,Commune Chefchaouen,المشاركة المواطنة
الحكامة,جماعة شفشاون,Commune Chefchaouen,الحكامة الداخلية
المجتمع المدني,جماعة شفشاون,Commune Chefchaouen,المشاركة المواطنة
الشفافية,جماعة شفشاون,Commune Chefchaouen,تتبع وتقييم برامج التنمية
اعداد ميثاق المشاركة المواطنة,جهة الشرق,Region de l Oriental,المشاركة المواطنة
العيش المشترك دون تمييز,جهة الشرق,Region de l Oriental,المشاركة المواطنة
تنظيم معارض جهوية للاقتصاد الاجتماعي والتضامني والتسويق الرقمي للمنتجات المجالية,جهة الشرق,Region de l Oriental,الجاذبية الترابية
المساهمة في الحد من هجرة الادمغة واستقطاب الكفاءات من مغاربة العالم,جهة الشرق,Region de l Oriental,الهجرة
تجهيزوتدبيرمنصة تثمين المنتجات المجالية,جهة الشرق,Region de l Oriental,الجاذبية الترابية
دعم الأنشطة المدرة للدخل بجهة الشرق,جهة الشرق,Region de l Oriental,الجاذبية الترابية
الحد من الهشاشة في صفوف النساء في وضعية صعبة والأشخاص في وضعية اعاقة,جهة الشرق,Region de l Oriental,النوع
الاهتمام بقضايا النوع,جهة الشرق,Region de l Oriental,النوع
تسهيل ادماج الشباب في مهن الرقمنة,جهة الشرق,Region de l Oriental,"الرقمنة 
التنمية الاقتصادية"
حكامة تدبير قضايا الهجرة بجهة الشرق,جهة الشرق,Region de l Oriental,الهجرة
تيسير الولوج للمعلومة,جهة الشرق,Region de l Oriental,الولوج إلى المعلومة
تسريع وتيرة التحول الرقمي بادارة الجهة,جهة الشرق,Region de l Oriental,الرقمنة
دعم الابتكار,جهة الشرق,Region de l Oriental,الإبتكار
تجويد التواصل المؤسساتي بجهة الشرق,جهة الشرق,Region de l Oriental,التواصل
مواكبة الهيئات الاستشارية,جهة الشرق,Region de l Oriental,الهيئات الإستشارية
دعم المشاركة المواطنة والانفتاح,جهة الشرق,Region de l Oriental,المشاركة المواطنة
تدبير العرائض,جهة الشرق,Region de l Oriental,العرائض
إحداث موقع الكتروني يضمن النشر الاستباقي للمعلومة,إقليم صفرو,Province Sefrou,الولوج إلى المعلومة
تنظيم لقاءات و دورات تكوينية وتحسيسية في مجالات الوصول إلى المعلومة والرقمنة,إقليم صفرو,Province Sefrou,"الولوج إلى المعلومة 
التواصل 
الرقمنة"
إحداث منصة رقمية لتكريس الشفافية وإعمال الحق في الحصول على المعلومات,إقليم صفرو,Province Sefrou,"الولوج إلى المعلومة 
الرقمنة"
إحداث شبكة إقليمية للهيآت الاسشارية,إقليم صفرو,Province Sefrou,الهيئات الإستشارية
"احداث مراحيض عمومية,",جماعة فاس,Commune Fes,تحسين الخدمات العمومية
تتبع وتقييم تنفيذ دراسة الجدوى لتدبير النفايات,جماعة فاس,Commune Fes,تدبير النفايات
تجهيز مداخل المدينة وملتقياتها بعلامات التوجيه الضرورية والمناسبة,جماعة فاس,Commune Fes,الجاذبية الترابية
الاحساس بالانتماء الترابي,جماعة مكناس,Commune Meknes,الجاذبية الترابية
نهج اساليب التدبير الحديث في تدبير المرافق الجماعية,جماعة مكناس,Commune Meknes,الحكامة الداخلية
استعمال الرقمنة للنشر الاستباقي والولوج للمعلومة,جماعة مكناس,Commune Meknes,الولوج إلى المعلومة
وضع منظومة لتتبع البرامج وتقييمها,جماعة مكناس,Commune Meknes,تتبع وتقييم برامج التنمية
وضع تصاميم متعلقة بالولوجيات بالجماعة,جماعة مكناس,Commune Meknes,الإعاقة
احداث مراحيض عمومية,جماعة مكناس,Commune Meknes,تحسين الخدمات العمومية
استغلال المياه العادمة لسقي المساحات الخضراء,جماعة مكناس,Commune Meknes,البيئة
ضعف التشجيروعدم ملائمة بعض الأشجار المتواجدة بالجماعة لمناخ المنطقة,جماعة مكناس,Commune Meknes,البيئة
استغلال المياه العادمة لسقي المساحات الخضراء بالمدينة,جماعة الحاجب,Commune El Hajeb,البيئة
تاهيل الغابات الحضرية بالمدينة نموذج حي الشيبة وحي بوعشرين,جماعة الحاجب,Commune El Hajeb,البيئة
استكمال تهيئة منتزه عين خادم,جماعة الحاجب,Commune El Hajeb,البيئة
إحداث مكتبة جماعية,جماعة الحاجب,Commune El Hajeb,التعليم
تأهيل حديقة شارع الجوز,جماعة الحاجب,Commune El Hajeb,البيئة
إحداث منتدى الحاجب للحوار والتشاور والتواصل,جماعة الحاجب,Commune El Hajeb,التواصل
بوابة الجماعة - تحسيس الفاعلين بدور الجماعة المنفتحة في التواصل .,جماعة زاكورة,Commune Zagora,التواصل
حكامة النقل المدرسي,المجلس الإقليمي زاكورة,Province Zagora,
تحسين العرض الصحي بالاقليم,المجلس الإقليمي زاكورة,Province Zagora,
تعميم الولوج للماء الصالح للشرب,المجلس الإقليمي زاكورة,Province Zagora,"تدبير الماء 
البيئة"
اصلاح وتهيئة الطرق والمسالك بالاقليم,المجلس الإقليمي زاكورة,Province Zagora,
الانفتاح على المجتمع المدني عبرإشراك الهيئات الاستشارية المحدثة لدى مجلس الجهة,جهة درعة-تافيلالت,Region Draa-Tafilalt,
تعزيز البنية التحتية الرقمية وآليات التواصل الخاصة بالجهة,جهة درعة-تافيلالت,Region Draa-Tafilalt,
التحسيس من أجل حماية المنظومة الطبيعية والبيئية للجهة والتكيف مع التغيرات المناخية,جهة درعة-تافيلالت,Region Draa-Tafilalt,
تعزيز آليات التسويق الترابي بالجهة,جهة درعة-تافيلالت,Region Draa-Tafilalt,
تثمين الموروث المعماري والثقافي بالجهة بشراكة مع المجتمع المدني,جهة درعة-تافيلالت,Region Draa-Tafilalt,
تنزيل مشروع التواصل بالجماعة,جماعة بني نصار,Commune Beni Nsar,
تعزيز الولوج الى المعلومات,جماعة بني نصار,Commune Beni Nsar,
احداث آليات جديدة للحوار والتشاور,جماعة بني نصار,Commune Beni Nsar,
رقمنة الادارة بالجماعة,جماعة بني نصار,Commune Beni Nsar,
وضع تصميم محلي شامل للتكوين المستمرللموظفين,جماعة بني نصار,Commune Beni Nsar,
تنظيم ملتقيات سنوية اقتصادية وثقافية لتسويق الجماعة,جماعة بني نصار,Commune Beni Nsar,
تعزيز المشاركة المواطنة بالجماعة,جماعة بني نصار,Commune Beni Nsar,
خلق وحدة الارشيف وتحديث قاعدة البيانات,جماعة بني نصار,Commune Beni Nsar,
تقوية قدرات الفاعلين من المجتمع المدني والمتدخلين بالجماعة,جماعة بني نصار,Commune Beni Nsar,
دعم منظومة واليات التواصل,جماعة وجدة,Commune Oujda,
دعم ومواكبة مسلسل اليات المشاركة المواطنة وتنزيل ميزانية تشاركية بالجماعة,جماعة وجدة,Commune Oujda,
احداث بوابة الكترونية وتعزيز القدرات في مجال الرقمنة,جماعة وجدة,Commune Oujda,
تقوية القدرات في مجال الحق في الولوج الى المعلومة,جماعة وجدة,Commune Oujda,
اخداث ادارة رقمية مندمجة بجماعة بركان,جماعة بركان,Commune Berkane,
تقوية قدرات المواطن و المجتمع ومكونات المدني في مجال تدبير الشأن العام,جماعة بركان,Commune Berkane,
تقوية القدرات في مجال التدبير المالي للجماعات الترابية,جماعة بركان,Commune Berkane,
برنامج تقوية قدرات جمعيات المجتمع المدني التنظيمية والمؤسساتية بجهة فاس-مكناس,جهة فاس مكناس,Region Fes-Meknes,
النقل المدرسي بجهة فاس-مكناس,جهة فاس مكناس,Region Fes-Meknes,
بناء حجرات للتعليم الأولي بالجهة,جهة فاس مكناس,Region Fes-Meknes,
تكوين أعضاء مجالس الجماعات الترابية بجهة فاس-مكناس,جهة فاس مكناس,Region Fes-Meknes,
المركب متعدد الاختصاصات للاقتصاد التضامني والاجتماعي بن سودة,جهة فاس مكناس,Region Fes-Meknes,
حاضنة جهوية للمشاريع,جهة فاس مكناس,Region Fes-Meknes,
تشغيل الشباب في العالم القروي,جهة فاس مكناس,Region Fes-Meknes,
تشغيل الشباب في العالم القروي: السياحة القروية رافعة مهمة للتشغيل,جهة فاس مكناس,Region Fes-Meknes,
توفير بنية طرقية مناسبة تحفظ كرامة المواطن,جهة فاس مكناس,Region Fes-Meknes,
تنشيط عمل الخلية المكلفة بالحق في الحصول على المعلومات,جماعة تازة,Commune Taza,
تقوية قدرات أعضاء الهيئة,جماعة تازة,Commune Taza,
تعزيز شفافية الدعم الممنوح لمنظمات المجتمع المدني,جماعة تازة,Commune Taza,
تطوير الموقع الإلكتروني للجماعة.,جماعة تازة,Commune Taza,
- إعداد ميزانية تشاركية,جماعة تازة,Commune Taza,
تعزيز العمل بالمنصات الرقمية الوطنية الموجهة لتعزيز التواصل,جماعة تازة,Commune Taza,
تعزيز قدرات المجتمع المدني,جماعة تازة,Commune Taza,
النشر الاستباقي للمعلومات والمعطيات التي بحوزة الجماعة,جماعة تازة,Commune Taza,
تنظيم أنشطة مفتوحة بالفضاءات والساحات العمومية,جماعة تازة,Commune Taza,
تحسين فضاءات الإستقبال والإرشاد,جماعة تازة,Commune Taza,
اعتماد مقاربة دعم المشاريع وتشجيع التشبيك بين الجمعيات,جماعة تازة,Commune Taza,
تعزيز مواكبة الموظفين لبرامج التحول الرقمي,جماعة تازة,Commune Taza,
تفعيل آليات الشراكة والتعاون,جماعة تازة,Commune Taza,
إعداد ميزانية المواطن ونشرها,جماعة تازة,Commune Taza,
دعم المشاركة المواطنة في إعداد وتتبع وتنفيذ البرامج التنموية,جماعة تازة,Commune Taza,
تنظيم منتدى حول المشاركة في تجويد الخدمات المتعلقة بالتنشيط الرياضي: الشراكة في تدبير ملاعب القرب نموذجا,جماعة تازة,Commune Taza,
تنظيم أنشطة ثقافية وتربوية وفنية بالفضاءات المفتوحة والساحات العمومية,جماعة تازة,Commune Taza,
تدوين ونشر المساطر والإجراءات الإدارية وتبسيطها,جماعة تازة,Commune Taza,
بناء مجسمات فنية ترسخ لهوية المدينة,جماعة الراشدية,Commune Errachidia,
إحداث خزانة,جماعة الراشدية,Commune Errachidia,
تنظيم مهرجان سنوي,جماعة الراشدية,Commune Errachidia,
إحداث متحف,جماعة الراشدية,Commune Errachidia,
إحداث فضاءات جمعوية,جماعة الراشدية,Commune Errachidia,
تأهيل المداخل الرئيسية للمدينة,جماعة الراشدية,Commune Errachidia,
إحداث أسواق القرب بحي أولاد الحاج - واد الذهب - عين العاطي 1- قصر أوليتكير,جماعة الراشدية,Commune Errachidia,
إحداث حي حرفي,جماعة الراشدية,Commune Errachidia,
إحداث مقهى أدبي,جماعة الراشدية,Commune Errachidia,
1- تنظيم دورات تكوينية وورشات التحسيس والتوعية بأهداف التنمية المستدامة لفائدة منظمات المجتمع المدني والمنتخبين من أجل تعزيز إدماجها في البرامج التنموية.,جهة سوس ماسة,Region Souss-Massa,
2- مواكبة وتأطير الهيئة الاستشارية للمساواة وتكافؤ الفرص ومقاربة النوع المحدثة لدى مجلس جهة سوس ماسة للهيئات الاستشارية على مستوى عمالتي وأقاليم الجهة من أجل تتبع مؤشر المساواة و تكافؤ الفرص و مقاربة النوع بين الجنسين في المشاريع والبرامج التنموية المعتمدة.,جهة سوس ماسة,Region Souss-Massa,
3- مواكبة مجلس جهة سوس ماسة للهيئات الاستشارية الثلاث من أجل تنظيم لقاءات تواصلية مع المواطنين والمواطنات ومنظمات المجتمع المدني بغية شرح مضامين برنامج التنمية الجهوية وتقديم مقترحاتهم وتوصياتهم لمجلس جهة سوس ماسة (تفعيل المشاركة المواطنة في تدبير الشأن العام الجهوي).,جهة سوس ماسة,Region Souss-Massa,
4- إحداث واعتماد قاعدة بيانات رقمية دقيقة ومحينة تضم معطيات ومعلومات حسب القطاعات عن عمالتي واقاليم الجهة مع التركيز على الخصوصيات الديمغرافية والطبيعية والاقتصادية والاجتماعية لكل عمالة و إقليم من أجل تفعيل مبدأ العدالة المجالية (الاختيار الجيد للمشاريع والبرامج) ووضعها لدى مجلس جهة سوس ماسة.,جهة سوس ماسة,Region Souss-Massa,
5- إشراك الهيئات الاستشارية الثلاث المحدثة لدى مجلس جهة سوس ماسة في تنزيل مضامين برنامج أبريد.,جهة سوس ماسة,Region Souss-Massa,
6- اعتماد النشر الاستباقي للميزانية السنوية مع تبسيط المعلومات المالية.,جهة سوس ماسة,Region Souss-Massa,
إحداث استوديو سمعي بصري لفائدة جماعة ايت ملول,جماعة ايت ملول,Commune Ait Melloul,
دعم التحول الرقمي بجماعة أيت ملول من خلال تعزيز التطبيقات المعلوماتية.,جماعة ايت ملول,Commune Ait Melloul,
إعداد وتنفيذ ميزانية تشاركية برسم سنة 2024.,جماعة ايت ملول,Commune Ait Melloul,
إعداد مخطط السير والجولان لمجال ترابي محدد,جماعة ايت ملول,Commune Ait Melloul,
تأهيل حديقة نموذجية بشراكة مع جمعيات المجتمع المدني.,جماعة ايت ملول,Commune Ait Melloul,
تعزيز الهيئات الاستشارية لدى المجلس الجماعي وتحسين ظروف عملها,جماعة ايت ملول,Commune Ait Melloul,
تعزيز الحق في الحصول على المعلومات وخاصة النشر الاستباقي لها,جماعة ايت ملول,Commune Ait Melloul,
تكوين خريجات مراكز التربية والتكوين من أجل تمكينهن اقتصاديا.,جماعة ايت ملول,Commune Ait Melloul,
التعريف بمجالات تدخل الجماعة وخدماتها عبر أنشطة تواصلية.,جماعة ايت ملول,Commune Ait Melloul,
إحداث وحدة إدارية جماعية لتتبع العرائض والآراء الاستشارية.,جماعة ايت ملول,Commune Ait Melloul,
تنظيم يوم بيئي سنوي,جماعة ايت ملول,Commune Ait Melloul,البيئة
تاهيل المواطن ثقافيا ورياضيا,جماعة إنزكان,Commune Inezgane,
التواصل والحصول على المعلومات,جماعة إنزكان,Commune Inezgane,
العمل الاجتماعي,جماعة إنزكان,Commune Inezgane,
التبليغ عن الاعطال والمشاكل الخاصة بالانارة العمومية,جماعة إنزكان,Commune Inezgane,
اشكالية الانارة العمومية بالجماعة,جماعة إنزكان,Commune Inezgane,
تاهيل البنية التحتية للجماعة,جماعة إنزكان,Commune Inezgane,
المحافظة على البيئة,جماعة إنزكان,Commune Inezgane,
الاهتمام بالمناطق الخضراء,جماعة إنزكان,Commune Inezgane,
المواطن و المناطق الخضراء,جماعة إنزكان,Commune Inezgane,
المنصة التشاورية تارودانت: جسر التواصل والشراكة لتحقيق التنمية الشاملة والابتكار المستدام,جماعة تارودانت,Commune Taroudannt,
الحصول على المعلومةشراكة إبداعية: المجتمع المدني شريكاً في تدبير المخاطر وتحديد الأولويات,جماعة تارودانت,Commune Taroudannt,
ترقية مجتمعنا الرقمي: خدمات جماعية مبتكرة ومتميزة في جماعة تارودانت,جماعة تارودانت,Commune Taroudannt,
مجلس الشباب - شراكة فاعلة لتحقيق طموحات الشباب في جماعة تارودانت,جماعة تارودانت,Commune Taroudannt,
المسار الإداري المخصص: إدارة سريعة ومُيسّرة للأشخاص ذوي الإعاقة في جماعة تارودانت,جماعة تارودانت,Commune Taroudannt,
التميز في الاستقبال الإداري : جماعة تارودانت نحو الارتقاء بالخدمات العامة”,جماعة تارودانت,Commune Taroudannt,
تارودانت-تحفة تاريخية متراصة بين أحضان الجبال “أنسجة الماضي بخيوط الحاضر”,جماعة تارودانت,Commune Taroudannt,
التواصل الخارجي,جماعة أكادير,Commune Agadir,التواصل
برنامج التنقل الذكي,جماعة أكادير,Commune Agadir,"الرقمنة 
الإبتكار 
التنقلات الحضرية"
محاربة الأمية الرقمية,جماعة أكادير,Commune Agadir,الرقمنة
خلق لجان الحي,جماعة أكادير,Commune Agadir,جمعيات الأحياء
الرفع من نجاعة وجودة خدمات القرب عبر التكنولوجيا الحديثة,جماعة أكادير,Commune Agadir,
إعداد مخطط توجيهي لرقمنة الإدارة و المرافق الجماعية,جماعة تيزنيت,Commune Tiznit,
إحداث منصات و تطبيقات رقمية لتدبير المرافق و تجويد الخدمات الجماعية,جماعة تيزنيت,Commune Tiznit,
تعزيز المراكز السوسيوثقافية بخدمات القرب للساكنة في مجال الرقمنة,جماعة تيزنيت,Commune Tiznit,
تنظيم دورات تكوينية موضوعاتية لأعضاء هيئة المساواة و تكافؤ الفرص و مقاربة النوع,جماعة تيزنيت,Commune Tiznit,
إعادة تفعيل المجالس المحلية الاستشارية الموازية,جماعة تيزنيت,Commune Tiznit,
تطوير المنتدى السنوي للجمعيات ( تيزنيت تانمورت ),جماعة تيزنيت,Commune Tiznit,
تأسيس مختبر حي لرصد و اختبار المقاربات المبتكرة ( LIVING LAB ),جماعة تيزنيت,Commune Tiznit,
إحداث فضاء الإعلام و الصحافة و دعم المبادرات و المقاولات الصحفية المحلية,جماعة تيزنيت,Commune Tiznit,
تفعيل الميثاق الجماعي للتواصل مع وضع مخطط للتواصل الداخلي و الخارجي,جماعة تيزنيت,Commune Tiznit,
تعزيز و تحديث خدمات مكتب التواصل و مكتب الاستقبال و الارشاد,جماعة تيزنيت,Commune Tiznit,
إعداد دعامات تواصلية و تسويقية,جماعة تيزنيت,Commune Tiznit,
تعزيز آليات النشر الاستباقي للمعطيات الأكثر طلبا من طرف المواطنات و المواطنين,جماعة تيزنيت,Commune Tiznit,
التعريف أكثر بالقانون 31.13,جماعة تيزنيت,Commune Tiznit,
تفعيل مبادئ الشفافية و المساءلة,جماعة تيزنيت,Commune Tiznit,
ميثاق المشاركة المواطنة,جماعة تيزنيت,Commune Tiznit,
مشروع تعميم الرقمنة على جميع المصالح الجماعية,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
إحداث تطبيق ذكي للتواصل مع المواطن حول الإشكالات المتعلقة بخدمات القرب الجماعية,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
التحسيس والتوعية بأهمية المحافظة على التجهيزات والمرافق العمومية,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
إعداد دراسة حول السير والجولان والملك العمومي,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
إعداد مخطط بيئي للجماعة,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
تأهيل خريجات مراكز التربية التكوين لولوج سوق الشغل,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
أحداث منصة رقمية لتدبير طلبات استغلال المرافق الثقافية,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
إحداث منصة إلكترونية لتتبع وتقييم برنامج عمل الجماعة,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
إحداث مكتب الاستقبال والتوجيه,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
إحداث وحدة استقبال وتحسيس وتوجيه الأشخاص في وضعية إعاقة,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
إحداث تطبيق إلكتروني لقياس رضى المواطن,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
تقوية قدرات النساء في مجال الريادة وصنع القرار,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
اعتماد التشوير الداخلي والخارجي باللغات الأمازيغية و العربية والفرنسية,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
تقوية القدرات للفاعل الجمعوي والمتدخلين المجتمعيين,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
إحداث دليل إلكتروني للتعريف بالثرات الثقافي المحلي,جماعة الدشيرة الجهادية,Commune Dchira Jihadiya,
تعزيز أدوار الهيئات الاستشارية,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
احداث بوابة الكترونية بجميع اللغات,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
نافذة اعلامية لنشر التدخلات التنموية للجهة,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
احداث دليل إلكتروني وورقي للتعريف بالمؤهلات التنموية و السياحية للجهة,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
التعاقد مع متخصصين في مجال هندسة المعلوميات,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
إعداد دراسة للتجارب المقارنة حول الآليات التشاركية للحوار والتشاور الممكن تبنيها من طرف الجهات؛,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
العمل على تنظيم منتديات جهوية و إقليمية لتعزيز القوة الإقتراحية لفعاليات المجتمع المدني,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
تكييف الهيكل التنظيمي فيما يخص الآليات التشاركية وتقوية قدرات الإطار البشري لاستيعاب العلاقة مع المجتمع المدني,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
فك الارتباط بين ما هو سياسي وما هو مدني و الحرص على استقلالية الهيئات الاستشارية للجهة,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
الترافع من أجل ميزانية مستجيبة للنوع الاجتماعي,جهة العيون-الساقية الحمراء,Region Laayoune-Sakia-El Hamra,
مشروع مكتب ضبط الكتروني,جهة الداخلة وادي الذهب,Region Dakhla Oued Eddahab,
مشروع تنظيم دورات تكوينية لفائدة مكاتب وأعضاء الهيئات الاستشارية الثلاث بالجهة.,جهة الداخلة وادي الذهب,Region Dakhla Oued Eddahab,
مشروع تقوية وسائل التواصل الاجتماعي الخاصة بالجهة.,جهة الداخلة وادي الذهب,Region Dakhla Oued Eddahab,
خلق موقع خاص بجهة,مجلس جهة كلميم واد نون,Region guelmim ouad noun,
رقمنة الأرشيف,مجلس جهة كلميم واد نون,Region guelmim ouad noun,
تقوية مشاركة المواطنين (المشاركة المواطنة),مجلس جهة كلميم واد نون,Region guelmim ouad noun,
المساواة بين الجنسين ومقاربة النوع,مجلس جهة كلميم واد نون,Region guelmim ouad noun,
الشفافية والمسائلة,مجلس جهة كلميم واد نون,Region guelmim ouad noun,
تفعيل المشاريع والبرامج التنموية,مجلس جهة كلميم واد نون,Region guelmim ouad noun,
تفعيل التحول الرقمي لتجويد الخدمات وتحسينها,جماعة العيون,Commune Laayoune,
تشجيع المشاركة المواطنة,جماعة العيون,Commune Laayoune,
التواصل الدامج,جماعة سيدي افني,Commune Sidi Ifni,
اعتماد كامل للرقمنة من أجل خدمات جماعية ذات جودة وفعالية,جماعة سيدي افني,Commune Sidi Ifni,
اعداد برامج عمل موضوعاتية من طرف الهيئات الإستشارية,جماعة سيدي افني,Commune Sidi Ifni,
تشكيل ودعم قدرات الهيئات الإستشارية,جماعة سيدي افني,Commune Sidi Ifni,
خلق شبكة الكترونية للتواصل الداخلي,جماعة سيدي افني,Commune Sidi Ifni,
إحداث الشباك الوحيد,جماعة سيدي افني,Commune Sidi Ifni,
تعزيز آليات تقديم العرائض,جماعة سيدي افني,Commune Sidi Ifni,
وضع خطة تواصلية لتكريس وتعزيز الشفافية.,جماعة سيدي افني,Commune Sidi Ifni,
تيسيرالواوج إلى المعلومة,جماعة سيدي افني,Commune Sidi Ifni,
تمكين الشباب وتأهيلهم من أجل مشاركة فاعلة في تدبير الشأن المحلي,جماعة سيدي افني,Commune Sidi Ifni,
تأهيل شواطئ المدينة,جماعة سيدي افني,Commune Sidi Ifni,
احداث مراحيض عمومية,جماعة سيدي افني,Commune Sidi Ifni,
وضع تصاميم متعلقة بالولوجيات بالجماعة,جماعة سيدي افني,Commune Sidi Ifni,
إحداث مكتبات جماعية,جماعة سيدي افني,Commune Sidi Ifni,
تحسين فضاءات الإستقبال والإرشاد,جماعة سيدي افني,Commune Sidi Ifni,
تنظيم أنشطة مفتوحة بالفضاءات والساحات العمومية,جماعة سيدي افني,Commune Sidi Ifni,
