text,ground_truth,anthropic_prediction,anthropic_confidence
- ضعف التواصل بين المجتمع المدني و الجماعة - و صول المعلومة متأخرة,negative,negative,0.85
- ضعف الفعل المدني في بعض المجالات- ضعف الديمقراطية التشاركية - عدم اشراك الفاعلين في القرارات التنظيمية التي تهم الجماعة- تعثر الية التشاور ( الهيئة) - غياب التحسيس داخل النسيج المجتمعي بأهمية العرائض - ضعف التكوين لدى الفاعل الجماعي ( المنتخب ) - ضعف تأطير المواطنين من طرف الجمعياتج,negative,negative,0.95
-قلة التواصل - عدم توفر المواطن على المعلومة الكافية - عدم اشراك المواطنين في قرارات التدبير,negative,negative,0.85
غياب التواصل و التفاعل بين الادارة و الافراد و كذلك مع المؤسسات,negative,negative,0.85
ضعف التواصل الداخلي و الخارجي,negative,negative,0.85
- ضعف التواصل - عدم الاشراك في التتبع و التقييم - غياب ميزانية تشاركية,negative,negative,0.9
ضعف الية التواصل بين الجماعة و المواطن,negative,negative,0.85
ضعف النسيج الجمعوي في بعض المجالات - ضعف اشراك الفاعلين في الاعداد و القرارات,negative,negative,0.85
- اشكالية التواصل بين الجماعة و المجتمع المدني- عدم مشاركة المعلومة وبالتالي عدم المساهمة في تعزيز الفكر- اقصاء فئة من المجتمع المدني - - عدم اشراك المواطنين في قرارات الجماعة,negative,negative,0.85
- طريقة التواصل الداخلي - المشاركة ليست هذف أساسي بالنسبة للجماعة - الديمقراطية التشاركية - تحديد أولويات الجماعة,neutral,neutral,0.85
ضعف الحكامة - عدم اشراك الفاعلين في القرار,negative,negative,0.85
انعدام التواصل بين المواطنين و الجماعة بخصوص أعمال الجماعة - ضعف الديمقراطية التشاركية,negative,negative,0.85
عدم التواصل في الانشطة - عدم التواصل في الانجازات المحققة,negative,negative,0.85
الارتباط بالشخص والعلاقات الشخصية مع الادارة,neutral,neutral,0.7
ضعف مهام الهيئة الاستشارية وضعف الاستجابة إلى آرائها,neutral,negative,0.85
عدم معرفة المواطن باختصاصات الجماعة ومشاريعها,negative,negative,0.7
إشكال الثقة وعدم تعرف المواطن على المشاريع المبرمجة في الجماعة,negative,negative,0.85
ضعف المشاركة المواطنة في إعداد البرنامج التنموي و محدودية مشاركة الهيئة الاستشارية,negative,negative,0.85
ضعف المشاركة المواطنة,negative,negative,0.85
مشكلة التواصل على مستوى اللغة,negative,negative,0.7
عدم تمكين المواطن من حقه في الولوج إلى المعلومة,negative,negative,0.85
انعدام مكاتب الاستشارة والتوجيه وضعف المعلومة لدى المواطن,negative,negative,0.85
"عدم فهم الساكنة للمشكلة المطروحة, المساطر الإدارية، ونسبة عالية من الأمية",negative,negative,0.85
الأحكام المسبقة على المؤسسة وانعدام الثقة,negative,negative,0.85
المهاجرون يجدون صعوبات كثيرة مع الخدمات والمصادر الإدارية عندما يقومون بزيارة إلى منطقتهم,negative,negative,0.75
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
", ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة بالصناعة المنجمية فقط وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
"ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
", ضعف الجاذبية الترابية, وارتباط صورة مدينة خريبكة فقط بالصناعة المنجمية وصور نمطية متعلقة بالفترات الاحتجاجية",negative,negative,0.85
غياب جمالية الأحياء,negative,negative,0.85
ضعف دعم الأنشطة الثقافية,negative,negative,0.85
غياب دور السينما والمركبات الثقافية أو صالونات الأدبية,negative,negative,0.75
إهمال فضاءات الخضراء في الأحياء,negative,negative,0.85
قلة العرائض,negative,negative,0.7
يتيح القانون التنظيمي رقم 113.14 المتعلق بالجماعات (المادة 119) احداث اليات تشاركية للحوار والتشاور لتيسير مساهمة المواطنات والمواطنين والجمعيات في اعداد برامج العمل وتتبعها وخاصة الهيئات الاستشارية المحدثة بشراكة مع فعاليات المجتمع المدني، الا أن دور هذه الهيئات يقتصر على المهام الاستشارية (أراء، خبرات أو دراسات). ويلاحظ أن انعدام اليات للتنسيق فيما بينها والعمل المشترك لدراسة القضايا المركبة يحد من المساهمة الفعالة لهذه الهيئات تجويد السياسات المحلية.,neutral,neutral,0.85
إن الآراء الصادرة عن الهيئات الاستشارية سواء بمبادرة منها أو بطلب من مجلس الجماعة لا تجد في كثير من الاحيان طريقها نحو التفعيل أو الاخذ بعين الاعتبار إما بسبب ضعف الصياغة و التعليل أو عدم تحديد اليات التنفيذ أو ضعف التزام و انخراط الجماعة في الممارسة الاستشارية.,neutral,negative,0.85
"-انتشار الأزبال والنفايات بالمدينة داخل الأحياء السكنية وحول حاويات النفايات.
- نسجل تردي الفضاءات الخضراء من حيث المزروعات وأيضا المحافظة على خضرتها.
- انتشار الأزبال داخل الأحياء",negative,negative,0.95
‏إشكالية الروائح من محطة معالجة النفايات في مدخل مدينة أزيلال,neutral,negative,0.75
"‏غياب مقاربة النوع في الساحات العمومية وملاعب القرب , ‏وعدم استعمال النساء والفتيات للفضاء العمومي",negative,negative,0.85
الحاجة في تطوير آليات التشخيص ورصد قصد جمع وتحليل المعطيات و تشخيص حول في النساء بدون مأوى وأتعرف على الوضعية والمساهمة في تحسين وضعية وتقديم معطيات,neutral,neutral,0.8
الموقع الأثري غير معروف محليا وطنيا ودوليا ، غياب فضاءات ترفيهية به و ضعف التشوير + عدم نشر البحوث حوله + قلة الموارد البشرية المكونة والباحثين,negative,negative,0.85
غياب الاهتمام بالتراث المادي ولا مادي,negative,negative,0.85
